"","WDID","X","STATUS","SPILL.ID","CERT.PERSON.NAME","STEP","CERT.PERSON.TITLE","CERT.LOCATION","CERT.ID","SPILL.CREATED.DT","SUBMIT.DRAFT.DATE","ORIGINAL.CERTIFIED.DATE","CERT.DT","SPILL.TYPE","SPILL.VOL.REACH.LAND","SPILL.VOL","SPILL.VOL.RECOVER","SPILL.VOL.REACH.SURF","REACH_SURFACE","REACH.STORM.DRAINPIPE","RETURN.TO.SSS","SPILL.LOC.NAME","LATTITUDE.DECIMAL.DEGREES","LONGITUDE.DECIMAL.DEGREES","COUNTY","REGIONAL.BOARD","SPILL.LOC.DESC","SSO.NUMBER.APPEAR.POINTS","APPEAR.PT","APPEAR.PT.EXPLAIN","FINAL.SPILL.DEST","FINAL.SPILL.DEST.EXPL","START.DT","AGENCY.NOTIFY.DT","OPRTOR.ARRVL.DT","EST.END.DT","SPILL.CAUSE","SPILL.CAUSE.EXPLAIN","WHERE.FAILURE.OCCUR","WHERE.FAIL.OCCUR.EXP","SSO.Storm.Associated","DIAMETER.OF.SEWER","MATERIAL.SEWER_PIPE","AGE_SEWER_PIPE","RESPONSE.ACTIVITIES","RESPONSE.ACTIVITIES.EXPL","RESPONSE.COMPLETE.DT","RESPNS_CORCT_ACTN_TAKEN","SSO.CRCTIVE.ACTION.TAKEN.EXPL","ONGOING.INVESTIGATE","REASON.INVESTIGATE","VISUAL.INSPCT.RESULT","HEALTH.WARNING.POST","SSO.IF.IMPACT.BEACH","BEACH.IMPACT","SURFACE.WATER.IMPACT","SAMPLE.ANALYZE.FOR","SMPLS_ANALYZE_FOR_EXPL","SAMPLE.REPORTED.TO","SMPLS.REPORT.TO.EXPL","SSO.VOLUME.METHOD","OES.CONTROL.NUMBER","OES.CONTROL.DT","SSO.OPERATOR.NAME","SSO.OPERATOR.PHONE","Status","Region","Agency","Collection.System","County","LRO","Street","City","Zip"
"9494","2SSO10170",9502,"Active",764495,"Bill Lindasy","Certified","City Manager","City Hall",552335,"18-MAR-11","03/18/2011","21-JUL-11","07/21/2011","Category 1",NA,4213282,0,4123282,"Yes","Yes","No","860 Harbour Way South",37.92,-122.35946,"Contra Costa",2,"Overflow weir at Harbour Way & Wright Ave",NA,"Other sewer system structure","Overflow weir","Surface water"," ","03/18/2011 00:00","03/18/2011 13:22","03/18/2011 13:22","03/20/2011 14:18","Flow exceeded capacity (Separate CS Only)"," ","Main"," ","",NA," "," ","Other (specify below)","Unable to clean-up spill due to direct discharge to Santa Fe Channel","03/18/2011 00:00","Plan rehabilitation or replacement of sewer"," ","Yes",""," ","No","","None","Santa Fe Channel and San Francisco Bay","No water quality samples taken"," ","No water quality samples taken"," ","","111625","03/18/2011 13:48","","","Active","2","Richmond City","Richmond City CS","Contra Costa","Ryan Anthony Smith","450 Civiv Center Plaza  ","Richmond",94804
"9425","2SSO10170",9433,"Active",748403,"BILL LINDSAY","Certified","CITY MANAGER","CITY OF RICHMOND",167783,"19-JAN-10","","08-FEB-10","02/08/2010","Category 1",NA,3952443,0,3952443,"Yes","Yes","No","738 Harbour Way S & Wright Avenue Overflow Weir",37.92167,-122.35983,"Contra Costa",2,"The engineered overflow structure for this portion of the collection system discharged due to infiltration and inflow exceeding the capacity of the collection system, as a result of a large amount of rainfall in a short period of time. The discharge was a combination of sewage and storm water.",NA,"Other sewer system structure","Engineered overflow weir","Surface water","Santa Fe Channel","01/19/2010 00:00","01/19/2010 06:00","01/19/2010 06:15","01/19/2010 22:00","Rainfall exceeded design"," ","Main"," ","",NA," "," ","Other (specify below)","Monitored discharge","01/19/2010 22:00","Other (specify below)","No corrective action taken. System is hydraulicallly overloaded due to excessive rainfaill","No",""," ","No","","","San Francisco Bay","No water quality samples taken"," ","No water quality samples taken"," ","","100387","01/19/2010 07:22","","","Active","2","Richmond City","Richmond City CS","Contra Costa","Ryan Anthony Smith","450 Civiv Center Plaza  ","Richmond",94804
"9473","2SSO10170",9481,"Active",759542,"Bill Lindsay","Certified","City Manager","Richmond, CA",876767,"19-DEC-10","12/19/2010","03-MAR-11","03/03/2011","Category 1",NA,3594793,0,3594793,"Yes","Yes","No","860 Harbour Way South (Harbour Way & Wright)",37.92,-122.35946,"Contra Costa",2,"",NA,"Other sewer system structure","Overflow Weir","Surface water","Santa Fe Channel","12/19/2010 00:00","12/19/2010 06:00","12/19/2010 06:00","12/19/2010 23:56","Other (specify below)","Excessive rain and Inflow and infiltration","Main"," ","",NA," "," ","Other (specify below)","Due to excessive storm/rain, unable to restor flow at this time.","12/19/2010 23:56","Plan rehabilitation or replacement of sewer"," ","Yes",""," ","No",""," ","Santa Fe Channel","Dissolved oxygen;Biological indicator(s) - specify below","Total coliform and BOD","Regional Water Quality Control Board"," ","","107607","12/19/2010 06:15","","","Active","2","Richmond City","Richmond City CS","Contra Costa","Ryan Anthony Smith","450 Civiv Center Plaza  ","Richmond",94804
"9436","2SSO10170",9444,"Active",748454,"BILL LINDSAY","Certified","CITY MANAGER","CITY OF RICHMOND",905688,"20-JAN-10","","08-FEB-10","02/08/2010","Category 1",NA,3533213,0,3533213,"Yes","Yes","No","738 Harbour Way S & Wright Avenue Overflow Weir",37.92108,-122.35992,"Contra Costa",2,"The engineered overflow structure for this portion of the collection system discharged due to infiltration and inflow exceeding the capacity of the collection system, as a result of a large amount of rainfall in a short period of time. The discharge was a combination of sewage and storm water.",NA,"Other sewer system structure","The engineered overflow structure for the collection system (overflow weir).","Surface water","Santa Fe Channel (no public access at spill location)","01/20/2010 00:00","01/20/2010 06:25","01/20/2010 06:30","01/20/2010 19:00","Flow exceeded capacity","Excessive rainfall and Inflow & Infiltration caused the system to become hydraulically overloaded.","Main"," ","",NA," "," ","Other (specify below)","No clean-up activity due to excessive rain from storm event.","01/21/2010 22:00","Other (specify below)","Planned flow study to determine location of excessive inflow and infiltration will be conducted.","Yes",""," ","Yes","","","Santa Fe Channel (San Francisco Bay)","No water quality samples taken"," ","No water quality samples taken"," ","","100443","01/20/2010 06:48","","","Active","2","Richmond City","Richmond City CS","Contra Costa","Ryan Anthony Smith","450 Civiv Center Plaza  ","Richmond",94804
"9476","2SSO10170",9484,"Active",759960,"Bill Lindsay","Certified","City Manager","Richmond, CA",360094,"28-DEC-10","12/28/2010","03-MAR-11","03/03/2011","Category 1",NA,3421837,0,3421837,"Yes","Yes","No","860 Harbour Way South",37.92,-122.35946,"Contra Costa",2,"Overflow weir located at Harbour Way South and Wright Ave.",NA,"Gravity sewer"," ","Surface water","Santa Fe Channel","12/28/2010 00:00","12/28/2010 20:50","12/28/2010 21:00","12/29/2010 09:10","Flow exceeded capacity (Separate CS Only)","Overflow weir located at Harbour Way and Wright Ave surged due to excessive inflow and infiltration from storms causing untreated sewage to discharge into the Santa Fe Channel.","Main","Overflow weir located at Harbour Way and Wright Ave surged due to excessive inflow and infiltration from storms causing untreated sewage to discharge into the Santa Fe Channel.","",NA," "," ","Other (specify below)","Not able to clean up spill due to storm and volume of discharge.","12/29/2010 09:10","Plan rehabilitation or replacement of sewer"," ","Yes",""," ","Yes","","None","Sante Fe Channel","Biological indicator(s) - specify below","Total Coliform","Regional Water Quality Control Board"," ","","107925","10/28/2010 21:14","","","Active","2","Richmond City","Richmond City CS","Contra Costa","Ryan Anthony Smith","450 Civiv Center Plaza  ","Richmond",94804
"24977","5SSO10835",24985,"Active",831715,"Rod Bryan","Certified","Public Works Director","PWD Office",483080,"12-JAN-17","01/12/2017","03-FEB-17","02/03/2017","Category 1",0,2690000,0,2690000,"Yes","No","Not Applicable - Spill did not reach a separate storm drainpipe","Interceptor SSO",41.308268,-122.32127,"Siskiyou",5,"",1,"Gravity Mainline","Cold Creek drainage channel","Surface Water","cold creek drains into Lake Siskiyou","01/02/2017 00:00","01/11/2017 10:45","01/11/2017 10:45","01/12/2017 12:45","Pipe Structural Problem/Failure","erosion in deep drainage channel in which sewer interceptor line crosses perpendicular to, caused the interceptor line failure.","Gravity Mainline"," ","Yes",12,"AC","43","Other (specify below);Property Owner Notified;Other Enforcement Agency Notified","bypass pumping, sampling, repairs","01/18/2017 10:00","Plan rehabilitation or replacement of sewer;Repaired Facilities or Replaced Defect","Interceptor line is scheduled for replacement. City currently has CWSRF planning grant to complete design and environmental documents for the Interceptor Replacement Project.","Yes","Sampl","No noticeable effects on Lake Siskiyou as it is frozen over.","Yes","No","Health warnings were posted. Approval to remove warnings from Siskiyou County Environmental Health obtained on January 27, 2017.","Cold Creek, Lake Siskiyou","Other (specify below)","Ammonia, Total & Fecal coliform","County Health Agency;Regional Water Quality Control Board"," ","The readings of the Wastewater Treatment Plant influent flow meter prior to line failure were used to determine volume of spill","170335","01/10/2017 10:15","Rod Bryan, Public Works Director","5309267526","Active","5R","Mt Shasta City","Mt Shasta CS","Siskiyou","David  Torres","305 Mt Shasta Boulevard ","Mt Shasta",96067
"41878","5SSO10981",41888,"Active",832053,"Phil Miller","Certified","District Engineer","Napa",979201,"25-JAN-17","01/25/2017","03-FEB-17","02/03/2017","Category 1",0,2500000,0,2500000,"Yes","No","Not Applicable - Spill did not reach a separate storm drainpipe","LBRID Pond 3 Discharge Pipe",38.684675,-122.365981,"Napa",5,"The District's Pond system is located approximately 1 mile south of 2446 Stagecoach Canyon Road.  The location of the break was on the discharge pipe leading from Pond 3 (treatment) to Pond 4 (polishing).",1,"Other sewer system structure","Spill appeared from the discharge pipe leading from Pond 3 (treatment) to Pond 4 (polishing).","Surface Water;Unpaved surface"," ","01/08/2017 00:00","01/24/2017 11:30","01/24/2017 11:30","01/26/2017 09:00","Pipe Structural Problem/Failure"," ","Other (specify below)","A weld on the discharge pipe leading from Pond 3 (treatment) to Pond 4 (polishing) failed.","Yes",10,"Steel","50","Other (specify below)","In the process of repair to pipe.","01/26/2017 09:00","Plan rehabilitation or replacement of sewer"," ","No"," ","No visual impact noticed, as stream flows are still high from the recent storms.","No","No","","onsite drainage to Stone Corral Creek, a tributary to Putah Creek","Biological indicator(s) - specify below","BOD5","County Health Agency;Regional Water Quality Control Board","BOD samples were taken on 1/26/2017 and will be reported to the above selected agencies.","Bernoulli's equation","170791","01/25/2017 10:47","Annamaria Martinez, Assistant Engineer","7072598378","Active","5S","Lake Berryessa Resort Improvement District","Lake Berryessa Resort CS","Napa","Phillip  Miller","2446 Stagecoach Canyon Road ","Pope Valley",94567
"49659","9SSO10658",49634,"Active",770901,"Stan Griffith","Certified","Deputy Director","14:30",711850,"09-SEP-11","09/12/2011","13-SEP-11","10/17/2011","Category 1",NA,2431550,931550,2431550,"Yes","Yes","No","3338573",32.90222,-117.22289,"San Diego",9,"",NA,"Manhole"," ","Beach"," ","09/08/2011 17:50","09/08/2011 17:50","09/08/2011 17:50","09/08/2011 22:52","Other (specify below)","SDGE Power Outage","Other (specify below)","Pump Station due to Power outage caused by SDGE","",NA," "," ","Cleaned-up (mitigated effects of spill);Restored flow;Other (specify below)","Power was restored","09/09/2011 05:00","Other (specify below)","Power restored to station","Yes",""," ","Yes","","Torrey Pines State Beach","Los Penasquitos Creek; Los Penasquitos Lagoon","Other chemical indicator(s) - specify below","Coliform, Enterococcus","County Health Agency"," ","","115348","09/08/2011 18:30","","","Active","9","San Diego City Metropolitan Wastewater Dept (Public Utilities)","San Diego City CS (Wastewater Collection System)","San Diego","Agnes Generoso","9192 Topaz Way ","San Diego",92123
"9631","2SSO10170",9639,"Active",811359,"Mary Phelps","Certified","Source Control Inspector III","Richmond, CA",787262,"11-DEC-14","12/15/2014","28-DEC-14","12/28/2014","Category 1",0,2390000,0,2390000,"Yes","Yes","No","Harbour Way South & Wright Ave., Richmond, CA",37.9212,-122.36008,"Contra Costa",2,"",1,"Other sewer system structure","Engineered overflow weir","Surface Water"," ","12/11/2014 11:45","12/11/2014 11:45","12/11/2014 11:45","12/12/2014 03:30","Rainfall Exceeded Design, I and I (Separate CS Only)"," ","Other (specify below)","Engineered overflow weir","Yes",NA," "," ","Other (specify below)","Unable to clean-up or contain spill due to severity of storm.","12/12/2014 03:30","Other (specify below)","None taken","Yes","Tryin"," ","Yes","No","None","San Francisco Bay","Biological indicator(s) - specify below","Ammonia, Total coliform and Fecal Coliform","Regional Water Quality Control Board"," ","Flow meter","147060","12/11/2014 12:24","Wayne Madison","510542324","Active","2","Richmond City","Richmond City CS","Contra Costa","Ryan Anthony Smith","450 Civiv Center Plaza  ","Richmond",94804
"41453","5SSO10940",41462,"Active",792628,"James M. Hampton","Certified","Facility Manager","13:45",279531,"13-MAR-13","03/15/2013","21-MAR-13","03/21/2013","Category 1",NA,2050000,0,2050000,"Yes","No","Not Applicable - Spill did not reach a separate storm drainpipe","Hwy 119 and Ash Street",35.15062,-119.44773,"Kern",5,"Spill from main into Sandy Creek drainage course",NA,"Other (specify)","collapsed gravity line","Other (specify below)","Self contained in Sandy Creek approximately 1.5 miles","03/08/2013 12:00","03/12/2013 11:50","03/12/2013 11:56","03/12/2013 23:45","Pipe structural problem/failure"," ","Main"," ","",18,"VCP","60","Cleaned-up (mitigated effects of spill);Contained all or portion of spill;Inspected sewer using CCTV to determine cause;Other (specify below)","Pipe collapsed and reversed flow back through upstream manhole. The main line in the area was video inspected and the colllapsed section of pipe replaced.","03/22/2013 11:50","Plan rehabilitation or replacement of sewer;Repaired sewer"," ","Yes","","Cleanup of streambed was completed. Removal of sewage sludge and other materials was completed.","Yes","","None","None","Not applicable to this spill"," ","Not applicable to this spill"," ","","131517","03/12/2013 12:47","","","Active","5F","Taft City","Taft City CS","Kern","Anthony Bonanno"," PO Box 413  ","Taft",93268
