WDID	Status	SSOq Population Served	Last Updated	Dev Plan Schedule DT	Goal DT	Org DT	Legal Auth DT	Operation Maint DT	Design Perf Prov DT	Overflow Emerg Resp Plan DT	Fog Cntl Program DT	Sys Eval Cap Assur Plan	Monit Meas Program Modi DT	SSMP Program Audit DT	Commun Program DT	Complete SSMP Impl DT	Five Year Update DT	Note	Url	SSMP Uploaded	
1SSO10018	Active	5,000	05/02/2016	01/31/2008	05/02/2008	05/02/2008	10/30/2009	10/30/2009	05/03/2010	12/03/2008	10/30/2009	05/03/2010	05/03/2010	05/03/2010	05/03/2010	05/11/2011	05/02/2016			Yes	
1SSO10019	Active	8,500	10/19/2016	10/09/2014	10/09/2014	10/09/2014	10/09/2014	10/09/2014	10/09/2014	10/09/2014	10/09/2014	10/09/2014	10/09/2014	10/09/2014	10/09/2014	10/09/2014	10/19/2016			No	
1SSO10020	Active	4,800	06/06/2012	01/15/2008	05/01/2008	05/01/2008	06/06/2012	06/06/2012	06/06/2012	06/06/2012	06/06/2012	06/06/2012	06/06/2012	06/06/2012	06/06/2012	06/06/2012		We have paper copies of our Wastewater and Stormwater Maps. One of the goals in the Plan is to develop mapping utilizing GPS and GIS by July 2013. 		No	
1SSO10021	Active	410	05/03/2012	03/05/2009	05/11/2009	05/11/2009	05/03/2012	05/03/2012	05/03/2012	05/03/2012	05/03/2012	05/03/2012	05/03/2012	05/03/2012	05/03/2012	05/03/2012				No	
1SSO10022	Active	5,500	04/19/2012	04/17/2012	04/17/2012	04/17/2012	04/17/2012	04/17/2012	04/17/2012	04/17/2012	04/17/2012	04/17/2012	04/17/2012	04/17/2012	04/17/2012	04/17/2012				No	
1SSO10023	Active	9,250	06/27/2012	11/06/2007	06/26/2012	06/26/2012	06/26/2012	06/26/2012	06/26/2012	06/26/2012	06/26/2012	06/26/2012	06/26/2012	06/26/2012	06/26/2012	06/26/2012				No	
1SSO10024	Active	938	10/23/2012	10/23/2012	10/23/2012	10/23/2012	10/23/2012	10/23/2012	10/23/2012	10/23/2012	10/23/2012	10/23/2012	10/23/2012	10/23/2012	10/23/2012	10/23/2012	10/23/2017			No	
1SSO10025	Active	765	11/13/2015	07/06/0015	07/06/0015	07/06/0015	07/06/0015	07/06/0015	07/06/0015	07/06/0015	07/06/0015	07/06/0015	07/06/0015	07/06/0015	07/06/0015	07/06/0015				Yes	
1SSO10027	Active	1,200	03/17/2015	03/17/2015	03/17/2015	03/17/2015	03/17/2015	03/17/2015	03/17/2015	03/17/2015	03/17/2015	03/17/2015	03/17/2015	03/17/2015	03/17/2015	03/17/2015	03/17/2020			Yes	
1SSO10028	Active	865	07/30/2010	06/11/2008	06/11/2008	06/11/2008	02/02/2010	02/02/2010	07/30/2010	02/02/2010	02/02/2010	07/30/2010	07/30/2010	07/30/2010	07/30/2010	07/30/2010				No	
1SSO10030	Active	616	08/19/2013	06/07/2011	06/07/2011	06/07/2011	06/07/2011	06/07/2011	06/07/2011	06/07/2011	06/07/2011	06/07/2011	06/07/2011	06/07/2011	06/07/2011	06/07/2011	06/01/2016			No	
1SSO10031	Active	12,295	01/17/2012	10/15/0007	10/15/0007	10/15/0007	05/16/2011	05/16/2011	05/16/2011	05/16/2011	05/16/2011	05/16/2011	05/16/2011	05/16/2011	05/16/2011	05/16/2011				No	
1SSO10032	Active	1,300	04/23/2012	04/02/2007	04/30/2007	04/30/2007	04/30/2007	05/30/2007	05/30/2007	06/29/2007	07/31/2007	08/31/2007	09/28/2007	01/31/2008	03/31/2008	06/22/2008				No	
1SSO10033	Active	1,815	07/01/2013	12/27/2012	12/27/2012	12/27/2012	12/27/2012	12/27/2012	12/27/2012	12/27/2012	12/27/2012	12/27/2012	12/27/2012	06/17/2013	12/27/2012	06/17/2013	06/17/2018	Resolution No. 130617A		Yes	
1SSO10035	Active	652	05/10/2011	05/01/2008	05/01/2008	05/01/2008	05/01/2008	02/02/2010	12/17/2010	02/02/2010	02/16/2011	03/10/2011	03/29/2011	04/21/2011	05/10/2011	05/10/2011				No	
1SSO10036	Active	927	04/23/2013	07/24/2012	07/24/2012	07/24/2012	07/24/2012	07/24/2012	07/24/2012	07/24/2012	07/24/2012	07/24/2012	07/24/2012	07/24/2012	07/24/2012	07/24/2012	07/24/2017			No	
1SSO10037	Active	11,564	08/27/2014	05/01/2007	09/05/2007	07/05/2007	04/30/2009	04/30/2009	04/30/2009	04/30/2009	04/30/2009	05/04/2009	06/09/2009	06/09/2009	06/09/2009	07/20/2009	08/27/2014			Yes	
1SSO10038	Active	1,200	06/25/2012	06/25/2012	06/25/2012	06/25/2012	06/25/2012	06/25/2012	06/25/2012	06/25/2012	06/25/2012	06/25/2012	06/25/2012	06/25/2012	06/25/2012	06/25/2012	06/25/2017			No	
1SSO10040	Active	240	08/07/2014	07/16/2014	07/16/2014	07/16/2014	07/16/2014	07/16/2014	07/16/2014	07/16/2014	07/16/2014	07/16/2014	07/16/2014	07/16/2014	07/16/2014	07/16/2014	07/16/2019			No	
1SSO10041	Active	2,530	06/21/2012	12/27/2007	01/16/2008	04/03/2008	06/20/2012	06/20/2012	06/20/2012	06/20/2012	06/20/2012	06/20/2012	06/20/2012	06/20/2012	06/20/2012	06/20/2012	06/14/2017			No	
1SSO10042	Active	750	03/05/2015		11/20/2014	11/20/2014	11/20/2014	11/20/2014	11/20/2014	11/20/2014	11/20/2014	11/20/2014	11/20/2014	11/20/2014	11/20/2014	11/20/2014	11/20/2014			No	
1SSO10043	Active	750	10/10/2016	09/16/2010	09/16/2010	09/16/2010	07/29/2010	09/16/2010	09/16/2010	09/16/2010	09/16/2010	07/29/2010	09/16/2010	07/29/2010	09/16/2010	09/16/2010	10/10/2016			No	
1SSO10044	Active	15,700	03/10/2017	12/27/2010	05/18/2011	02/11/2013	05/18/2011	05/18/2011	05/18/2011	05/18/2011	05/18/2011	05/18/2011	05/18/2011	02/11/2013	05/18/2011	05/18/2011	02/15/2017		http://mckinleyvillecsd.com/sites/mckinleyvillecsd.com/files/MCSD%20SSMP_OERP_complete%20022717.pdf	Yes	
1SSO10045	Active	1,000	10/07/2016	03/31/2008	03/31/2008	03/31/2008	01/20/2010	01/20/2010	05/27/2010	01/20/2010	01/20/2010	05/27/2010	05/27/2010	05/27/2010	05/27/2010	07/01/2010	10/07/2016			Yes	
1SSO10047	Active	550	07/23/2010	04/15/2008	04/15/2008	04/15/2008	01/30/2010	01/30/2010	07/23/2010	01/30/2010	01/30/2010	07/23/2010	07/23/2010	07/23/2010	07/23/2010	07/23/2010				No	
1SSO10048	Active	1500	09/05/2014	09/05/2014	09/05/2014	09/05/2014	09/05/2014	09/05/2014	09/05/2014	09/05/2014	09/05/2014	09/05/2014	09/05/2014	09/05/2014	09/05/2014	09/05/2014	09/05/2019			Yes	
1SSO10052	Active	350	04/12/2012	02/08/2008	04/15/2008	04/15/2008	04/15/2008	06/30/2008	08/07/2008	12/19/2008	07/01/2008	08/07/2008	11/14/2008	06/30/2008	12/19/2008	12/19/2008	12/06/2013	Element certification dates were pulled from historical files as the original dates had not been correctly saved when orginally input into CIWQS syste		No	
1SSO10053	Active	501	07/25/2012	02/28/2012	02/28/2012	02/28/2012	02/28/2012	02/28/2012	02/28/2012	02/28/2012	02/28/2012	02/28/2012	02/28/2012	02/28/2012	02/28/2012	02/28/2012		First SSMP of Record		No	
1SSO10055	Active	1,226	02/21/2012	07/17/0008	07/17/0008	07/17/0008	07/18/0008	07/17/0008	07/17/0008	07/17/0008	07/17/0008	07/17/0008	07/17/0008	01/14/2009	01/14/2009	05/13/2009				No	
1SSO10058	Active	3,100	03/25/2016	12/29/2015	12/29/2015	12/29/2015	12/29/2015	12/29/2015	12/29/2015	12/29/2015	12/29/2015	12/29/2015	12/29/2015	12/29/2015	12/29/2015	12/29/2015	02/16/2016		www.riodellcity.com	Yes	
1SSO10062	Active	8,833	09/25/2014	09/08/2008	09/08/2008	09/08/2008	06/15/2009	06/15/2009	06/15/2009	06/15/2009	06/15/2009	12/01/2010	06/15/2009	03/31/2011	09/04/2009	12/01/2010	09/25/2019		http://www.scwa.ca.gov/sewer-system-management-plans/	Yes	
1SSO10063	Active	782	09/25/2014	09/08/2008	09/08/2008	09/08/2008	06/15/2009	06/15/2009	06/15/2009	06/15/2009	06/15/2009	12/01/2010	06/15/2009	03/31/2011	09/04/2009	12/01/2010	09/25/2019		http://www.scwa.ca.gov/sewer-system-management-plans/	Yes	
1SSO10064	Active	610	09/25/2014	09/08/2008	09/08/2008	09/08/2008	06/15/2009	06/15/2009	06/15/2009	06/15/2009	06/15/2009	12/01/2010	06/15/2009	03/31/2011	09/04/2009	12/01/2010	09/25/2019		http://www.scwa.ca.gov/sewer-system-management-plans/	Yes	
1SSO10065	Active	220	09/25/2014	09/08/2008	09/08/2008	09/08/2008	06/15/2009	06/15/2009	06/15/2009	06/15/2009	06/15/2009	12/01/2010	06/15/2009	03/31/2011	09/04/2009	12/01/2010	09/25/2019		http://www.scwa.ca.gov/sewer-system-management-plans/	Yes	
1SSO10066	Active	880	09/25/2014	09/08/2008	09/08/2008	09/08/2008	06/15/2009	06/15/2009	06/15/2009	06/15/2009	06/15/2009	12/01/2010	06/15/2009	03/31/2011	09/04/2009	12/01/2010	09/25/2019		http://www.scwa.ca.gov/sewer-system-management-plans/	Yes	
1SSO10067	Active	7,305	09/25/2014	09/08/2008	09/08/2008	09/08/2008	06/15/2009	06/15/2009	06/15/2009	06/15/2009	06/15/2009	12/01/2010	06/15/2009	03/31/2011	09/04/2009	12/01/2010	09/25/2019		http://www.scwa.ca.gov/sewer-system-management-plans/	Yes	
1SSO10068	Active	500	02/05/2017	11/24/0008	11/24/0008	11/24/0008	05/15/0010	05/15/0010	05/15/0010	05/15/0010	05/15/0010	05/15/0010	05/15/0010	06/30/0010	06/30/0010	07/15/0010	07/15/2015			Yes	
1SSO10069	Active	10,000	10/31/2016	09/26/2008	09/26/2008	09/26/2008	10/30/2009	10/30/2009	10/30/2009	10/30/2009	10/30/2009	10/30/2009	04/26/2010	04/26/2010	04/26/2010	04/26/2010				No	
1SSO10070	Active	10,400	09/25/2014	07/24/2007	11/01/2007	11/01/2007	10/30/2008	10/30/2008	05/01/2009	10/30/2008	10/30/2008	05/01/2009	05/01/2009	05/01/2009	05/01/2009	05/01/2009	09/25/2019		http://www.scwa.ca.gov/sewer-system-management-plans/	Yes	
1SSO10074	Active	16,500	11/05/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/09/2019	Changes adopted by Ukiah City Council 8/6/2014		Yes	
1SSO10078	Active	3,000	11/15/2010	11/09/2010	11/09/2010	11/09/2010	11/09/2010	11/09/2010	11/09/2010	11/09/2010	11/09/2010	11/09/2010	11/09/2010	11/09/2010	11/09/2010	11/09/2010				No	
1SSO10079	Active	2,972	07/12/2013	06/03/2013	06/03/2013	06/03/2013	06/03/2013	06/03/2013	06/03/2013	05/02/2012	06/03/2013	06/03/2013	06/03/2013	06/03/2013	06/03/2013	07/11/2013				No	
1SSO10080	Active	288	02/20/2012	03/05/2009	04/01/2009	04/15/2009	05/05/2009	06/28/2011	06/28/2011	06/28/2011	07/26/2011	07/26/2011	07/26/2011	08/30/2011	08/30/2011	08/30/2011	08/30/2016	Approved by WCSD Board then General Public on 8/30/2011		No	
1SSO10081	Active	50																		No	
1SSO10083	Historical																			No	
1SSO10085	Active	28,569	05/06/2015	08/15/2013	03/19/2014	02/04/2015	03/19/2014	02/04/2015	03/19/2014	02/04/2015	03/19/2014	03/19/2014	03/19/2014	03/19/2014	02/04/2015	02/04/2015			http://www.townofwindsor.com/documentcenter/view/2210	Yes	
1SSO10086	Active	7,500	03/02/2011	07/07/2008	07/07/2008	07/07/2008	09/09/2009	10/15/2008	09/09/2009	08/29/2008	09/09/2009	04/08/2010	04/08/2010	04/08/2010	04/08/2010	05/06/2010	05/01/2015	3-2-11		No	
1SSO10100	Active	520	01/13/2017	01/13/2017	01/13/2017	01/13/2017	01/13/2017	01/13/2017	01/13/2017	01/13/2017	01/13/2017	01/13/2017	01/13/2017	01/13/2017	01/13/2017	01/13/2017				Yes	
1SSO11000	Active	1,500	03/29/2011	12/31/2010	12/31/2010	12/31/2010	12/31/2010	12/31/2010	12/31/2010	12/31/2010	12/31/2010	12/31/2010	12/31/2010	12/31/2010	12/31/2010	12/31/2010				No	
1SSO11173	Active	9,000	03/23/2012	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	12/01/2015	Completion Freshwater Environmental Services 1/4/2011		No	
1SSO11419	Active	16,530	02/23/2015	11/02/2007	11/02/2007	11/02/2007	05/01/2009	05/01/2009	08/03/2009	05/01/2009	05/01/2009	08/03/2009	08/03/2009	08/03/2009	08/03/2009	12/12/2012				Yes	
1SSO11441	Active	3,047	04/19/2010	02/02/2008	05/01/2008	05/01/2008	10/29/2009	10/29/2009	04/13/2010	10/29/2009	10/29/2009	04/13/2010	04/13/2010	10/29/2009	10/29/2009	04/13/2010	04/13/2015			No	
1SSO11454	Active	5,000	11/05/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014	08/06/2014		Adopted by Ukiah City Council 8/6/2014	Yes	
1SSO11467	Active	7,273	02/04/2011	01/04/2010	01/04/2010	01/04/2010	01/04/2010	01/04/2010	01/04/2010	01/04/2010	01/04/2010	01/04/2010	01/04/2010	01/04/2010	01/04/2010	01/04/2010				No	
1SSO11475	Active	367	05/09/2011	01/18/2011	01/21/2011	01/28/2011	02/03/2011	02/10/2011	02/10/2011	03/04/2011	02/10/2011	03/04/2011	03/04/2011	03/04/2011	03/04/2011	05/09/2011	05/09/2016			No	
1SSO11490	Active	1,650	03/28/2011	03/01/2011	03/08/2011															No	
1SSO11491	Active	165,267	05/01/2014	07/24/2007	11/01/2007	11/01/2007	10/30/2008	10/30/2008	05/01/2009	10/30/2008	10/30/2008	05/01/2009	05/01/2009	05/01/2009	05/01/2009	05/01/2009	05/01/2014	5 Year re-certification		Yes	
1SSO11555	Active	150																		No	
1SSO11603	Active	1,000	12/17/2014	05/01/2008	05/01/2008	05/01/2008	04/16/2012	02/01/2010	08/01/2010	02/01/2010	02/01/2010	08/01/2010	08/01/2010	12/17/2014	08/01/2010	04/16/2012	09/09/2014			Yes	
1SSO11611	Active	2,000	08/21/2012	04/01/2012	04/01/2012	04/01/2012	04/01/2012	04/01/2012	04/01/2012	04/01/2012	04/01/2012	04/01/2012	04/01/2012	04/01/2012	04/01/2012	04/01/2012				No	
1SSO11652	Active	30	03/11/2011	03/11/2011	03/11/2011	03/11/2011	03/11/2011	03/11/2011	03/11/2011	03/11/2011	03/11/2011	03/11/2011	03/11/2011	03/11/2011	03/11/2011	03/11/2011				No	
1SSO11752	Active	1,255	05/28/2014	04/26/2013	05/10/2013	05/17/2013	07/25/2013	01/17/2014	01/17/2014	06/05/2013	07/05/2013	01/17/2014	08/12/2013	09/19/2013	09/23/2013	03/25/2014	03/25/2019	City Council Adopted 03/25/2014		Yes	
1SSO18109	Active																			No	
2SSO10087	Active	76,419	10/27/2014	10/16/2007	08/20/2007	08/20/2007	04/13/2009	04/13/2009	07/28/2009	04/13/2009	04/13/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	07/28/2009	10/21/2014			Yes	
2SSO10088	Active	18,500	07/28/2009	08/31/2006	08/31/2006	08/31/2006	08/31/2006	08/31/2006	08/31/2007	08/31/2007	08/31/2007	08/31/2008	08/31/2008	08/31/2008	08/31/2008	07/06/2009		Resolution #9-36		No	
2SSO10089	Active	1,700	05/29/2014	08/28/0006	08/28/0006	08/28/0006	08/28/0006	08/28/0006	08/28/0006	08/28/0006	08/28/0006	08/28/0006	08/28/0006	08/28/0006	08/28/0006	08/28/0006	05/19/2014		http://www.almontesd.org/resources/Almonte%20SSMP%20with%20Appendicies.pdf	No	
2SSO10090	Active	1,200	09/08/2014	06/25/2014	06/25/2014	06/25/2014	06/25/2014	06/25/2014	06/25/2014	06/25/2014	06/25/2014	06/25/2014	06/25/2014	06/25/2014	06/25/2014	06/25/2014	06/25/2014			Yes	
2SSO10091	Active	19,454	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	05/01/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014	07/30/2014			Yes	
2SSO10092	Active	2,000	07/31/2010	07/31/2010	07/31/2010	07/31/2010	07/31/2010	07/31/2010	07/31/2010	07/31/2010	07/31/2010	07/31/2010	07/31/2010	07/31/2010	07/31/2010	07/31/2010	07/31/2015			No	
2SSO10093	Active	11,000	01/31/2011	07/30/2005	08/31/2006	08/31/2006	08/31/2007	08/31/2007	08/31/2007	08/31/2006	08/31/2006	08/31/2008	08/31/2008	08/31/2008	08/31/2008	08/31/2008				No	
2SSO10094	Active	26,000	03/05/2010	10/09/2007	10/23/2007	10/23/2007	04/10/2009	04/10/2009	07/30/2009	04/10/2009	04/10/2009	07/30/2009	07/30/2009	07/30/2009	07/30/2009	07/30/2009				No	
2SSO10095	Active	27,978	10/07/2015	02/05/2008	08/30/2006	08/30/2006	08/31/2007	08/31/2007	08/31/2007	08/30/2006	08/30/2006	08/29/2008	08/29/2008	08/29/2008	06/18/2009	07/21/2009	10/07/2015		www.ci.benicia.ca.us	Yes	
2SSO10096	Active	112,580	07/24/2014	03/28/2014	03/28/2014	03/28/2014	03/28/2014	03/28/2014	03/28/2014	03/28/2014	03/28/2014	03/28/2014	03/28/2014	03/28/2014	03/28/2014	03/28/2014	04/04/2014			Yes	
2SSO10097	Active	4,282	10/06/2010	01/22/2008	05/02/2008	05/02/2008	09/24/2009	09/24/2009	05/02/2010	09/24/2009	09/24/2009	05/02/2010	05/02/2010	05/02/2010	10/04/2010	05/02/2010		 plan was completed and implemented in accordance with the WDR timelines, but due to the Council's summer break, it couldn't be approved until 10/4		Yes	
2SSO10098	Active	3,756	05/23/2016	05/03/2016	05/03/2016	05/03/2016	05/03/2016	05/03/2016	05/03/2016	05/03/2016	05/03/2016	05/03/2016	05/03/2016	05/03/2016	05/03/2016	05/03/2016	05/03/2021			Yes	
2SSO10099	Active	28,158	02/26/2014	08/08/2007	01/30/2013	01/30/2013	01/30/2013	01/30/2013	01/30/2013	01/30/2013	01/30/2013	01/30/2013	01/30/2013	01/30/2013	01/30/2013	01/30/2013	02/26/2014			No	
2SSO10100	Active	40,000	03/14/2013	07/15/2005	10/23/2012	10/23/2012	10/23/2012	09/01/2012	10/23/2012	03/12/2013	09/01/2012	10/05/2011	03/11/2013	03/11/2013	10/23/2012	02/28/2011				No	
2SSO10101	Active	15,500	01/10/2017	05/10/2011	06/01/2011	06/01/2011	06/01/2011	10/03/2011	09/01/2011	08/01/2011	07/01/2011		03/01/2013	03/01/2013	04/02/2012	04/01/2013	12/01/2016		http://www.csueastbay.edu/af/departments/risk-management/ehs/files/docs-new/sanitary-sewer-management-plan.pdf	Yes	
2SSO10102	Active	5,155	12/01/2016	08/29/2006	08/29/2006	08/29/2006	11/02/2009	11/02/2009	08/31/2007	11/02/2009	11/02/2009	11/18/2008	11/18/2008	11/18/2008	05/04/2010	05/04/2010	12/01/2016			Yes	
2SSO10103	Active	61,388	02/28/2012	08/31/2006	08/31/2006	08/31/2006	08/31/2007	08/31/2007	08/31/2007	08/31/2006	08/31/2006	08/31/2008	08/31/2008	08/31/2008	12/06/2011	12/06/2011				Yes	
2SSO10104	Active	12,000	02/13/2017	03/14/2016	03/14/2016	03/14/2016	03/14/2016	03/14/2016	03/14/2016	03/14/2016	03/14/2016	03/14/2016	03/14/2016	03/14/2016	03/14/2016	03/14/2016	04/26/2016		https://sfoconnect.com/bay-pollution-prevention-program	Yes	
2SSO10105	Active	481,600	02/25/2014	10/01/2012	10/01/2012	10/01/2012	10/01/2012	10/01/2012	10/01/2012	10/01/2012	10/01/2012	10/01/2012	10/01/2012	10/01/2012	10/01/2012	10/01/2012	12/01/2017			No	
2SSO10109	Active	134,560	07/01/2013	11/13/2007	08/25/2006	08/25/2006	08/30/2007	08/30/2007	08/30/2007	08/25/2006	08/25/2006	07/14/2008	07/14/2008	07/14/2008	07/14/2008	07/14/2008	03/06/2012			No	
2SSO10110	Active	30,010	10/09/2012	10/23/2007	08/31/2006	08/31/2006	08/31/2007	08/31/2007	08/31/2007	08/31/2006	08/31/2006	08/31/2007	08/31/2008	08/31/2008	08/31/2008	08/31/2008	09/21/2012			No	
2SSO10111	Active	77,925	11/05/2013	08/24/2005	08/31/2006	08/31/2006	08/31/2007	08/31/2007	08/31/2007	08/31/2006	08/31/2006	08/19/2008	08/19/2008	08/19/2008	08/19/2008	08/19/2008	06/11/2013		http://www.mountainview.gov/civica/filebank/blobdload.asp?BlobID=11119	Yes	
2SSO10112	Active	19,500	05/17/2012	11/01/2007	11/01/2007	11/01/2007	04/15/2009	04/15/2009	05/01/2008	04/15/2009	04/15/2009	12/03/2007	12/03/2007	07/24/2008	07/24/2008	05/01/2012	05/01/2017			Yes	
2SSO10113	Active	68,000	04/02/2014	10/29/0007	10/29/0007	10/29/0007	04/30/2009	04/30/2009	07/27/2009	04/30/2009	04/30/2009	07/27/2009	07/27/2009	07/27/2009	07/27/2009	07/27/2009	02/24/2014		http://www.ci.pittsburg.ca.us/Modules/ShowDocument.aspx?documentid=6213	No	
2SSO10114	Active	7,037	04/27/2014	08/29/2006	01/01/2005	01/01/2005	08/31/2007	08/31/2007	08/31/2007	08/31/2006	08/31/2006	08/31/2008	08/31/2008	08/31/2008	03/15/2010	04/03/2007				Yes	
2SSO10115	Active	117,712	09/11/2014	08/31/2005	08/31/2006	08/31/2006	08/31/2007	08/31/2007	08/31/2007	08/31/2006	08/31/2006	08/31/2008	08/31/2008	08/31/2008	08/31/2007	08/31/2008	09/01/2014			Yes	
2SSO10117	Active	1,520	11/18/2011	08/31/2006	08/31/2006	08/31/2006	09/21/2007	09/21/2007	09/21/2007	08/31/2006	08/31/2006	08/29/2008	08/29/2008	08/29/2008	08/29/2008	09/05/2009	01/19/2011			No	
2SSO10120	Historical	150	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2011	01/04/2016	this facilty is exempt		No	
2SSO10121	Historical	232																		No	
2SSO10122	Historical	60,000	08/28/2009	10/16/2007	11/02/2007	11/02/2007	05/01/2009	05/01/2009	07/31/2009	05/01/2009	05/01/2009	07/31/2009	07/31/2009	07/31/2009	07/31/2009	08/25/2009		Board of Supervisors approved SSMP on 8/25/09		No	
2SSO10123	Active	19,257	05/23/2016	05/18/2016	03/11/2014	05/18/2016	03/11/2014	03/11/2014	03/11/2014	03/11/2014	03/11/2014	03/11/2014	03/11/2014	05/18/2016	03/11/2014	05/18/2016	03/11/2019			Yes	
2SSO10124	Historical																			No	
2SSO10125	Active	59,244	05/23/2016	05/18/2016	05/18/2016	05/18/2016	05/18/2016	05/18/2016	05/18/2016	05/18/2016	05/18/2016	05/18/2016	05/18/2016	05/18/2016	05/18/2016	05/18/2016	05/18/2021			Yes	
2SSO10127	Active	198,419	12/16/2013	08/08/2005	08/30/2006	08/30/2006	08/30/2007	08/30/2007	08/30/2007	08/30/2006	08/30/2006	08/21/2008	08/21/2008	08/21/2008	08/21/2008	04/09/2009	12/11/2013	Resolution 17/2013		Yes	
2SSO10128	Active	75,018	04/04/2017	09/18/2007	08/31/2007	08/31/2007	08/21/2007	10/20/2008	08/21/2007	08/31/2007	08/31/2007	08/21/2007	08/21/2007	08/21/2007	10/20/2008	10/20/2008	09/18/2012			Yes	
2SSO10129	Active	7,155	04/01/2011	10/24/2007	10/24/2007	10/24/2007	03/16/2009	03/16/2009	03/16/2009	10/24/2007	10/24/2007	03/16/2009	03/16/2009	03/16/2009	03/16/2009	03/16/2009				No	
2SSO10131	Active	680,000	11/28/2016	06/12/2007	08/31/2007	03/12/2015	03/08/2011	03/12/2015	02/10/2009	03/12/2015	03/12/2015	03/12/2015	03/06/2012	04/24/2013	02/10/2009	04/14/2009	04/29/2015	All changes since initial approval minor in nature.	http://www.ebmud.com/index.php/download_file/force/1098/805/?2015-ssmp-for-sd-1.pdf	No	
2SSO10133	Active	11,721	08/04/2016	10/22/2014	10/22/2014	10/22/2014	10/22/2014	10/22/2014	10/22/2014	10/22/2014	10/22/2014	10/22/2014	10/22/2014	10/22/2014	10/22/2014	10/22/2014	10/22/2014		http://www.ci.emeryville.ca.us/documentcenter/view/7494	No	
2SSO10134	Active	105,026	02/05/2014	08/21/2007	08/01/2008	08/01/2008	10/01/2008	11/01/2008	10/01/2008	11/01/2008	10/01/2008	08/01/2008	08/01/2008	03/01/2012	10/01/2008	11/01/2008	12/17/2013			Yes	
