,WDID,STATUS,SPILL_ID,SPILL_LOC_NAME,SPILL_VOL,REACH_SURFACE,REACH_STORM_DRAINPIPE,RETURN_TO_SSS,SPILL_VOL_RECOVER,SPILL_VOL_REACH_SURF,LATTITUDE_DECIMAL_DEGREES,LONGITUDE_DECIMAL_DEGREES,ADDRESS,CITY,ZIP,SPILL_LOC_DESC,APPEAR_PT,APPEAR_PT_EXPLAIN,FINAL_SPILL_DEST,FINAL_SPILL_DEST_EXPL,START_DT,AGENCY_NOTIFY_DT,OPRTOR_ARRVL_DT,EST_END_DT,SPILL_CAUSE,SPILL_CAUSE_EXPLAIN,SSO_PLSD_SOURCE_PLSD,SSO_PLSD_SOURCE_EXPLAIN,WHERE_FAILURE_OCCUR,WHERE_FAIL_OCCUR_EXP,DIAMETER_OF_SEWER,MATERIAL_SEWER_PIPE,AGE_SEWER_PIPE,RESPONSE_ACTIVITIES,RESPONSE_ACTIVITIES_EXPL,Unnamed: 35
10,1SSO10001,Active,781399,786 9th Street,500.0,Yes,Yes,No,80.0,420.0,40.8692,-124.08671,786 9th,Arcata,95521.0,Sewer DI near Arcata Liquors on H Street.  Upon further investigation it was determined that some portion of the building plumbing underneath the building that houses Arcata Liquors had malfunctioned/broken and sewage from the building and possibly the neighboring building had been draining into the crawlspace under 786 9th Street,Building or structure, ,Separate storm drain, ,01-MAY-12 12.00.00.000000 PM,05/10/2012 10:30,05/10/2012 10:43,10-MAY-12 11.15.00.000000 AM,Pipe structural problem/failure, ,,,Upper Lateral, , , , ,Cleaned-up (mitigated effects of spill);Restored flow;Returned all or portion of spill to sanitary sewer system, ,
11,1SSO10001,Active,806103,781 H  Street / 4th Street Mkt,6.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,6.0,0.0,0.0,0.0,781 H Street,Arcata,95521.0,driveway,Lateral Clean Out (Private), ,Paved Surface, ,04-SEP-10 06.30.00.000000 PM,09/04/2010 18:30,09/04/2010 20:00,04-SEP-10 11.00.00.000000 PM,Grease Deposition (FOG), ,"Commercial Property (Office, retail, etc.)", ,Upper Lateral (Private), , , , ,Cleaned-Up, ,
12,1SSO10001,Active,807057,Safeway Produce Department,3200.0,Yes,No,Not Applicable - Spill did not reach a separate storm drainpipe,0.0,1600.0,40.866,-124.084,600 F Street,Arcata,95521.0,,Lateral Clean Out (Private),1) SW outside corner of building  2) SE corner outside buidling at foundation.,Paved Surface,1) Into storm drain    2) Soaked into ground near creek,20-MAY-14 02.00.00.000000 PM,05/22/2014 10:15,05/22/2014 10:20,22-MAY-14 10.50.00.000000 AM,Other (specify below),Unknown; possibly grease or debris in line?,"Commercial Property (Office, retail, etc.)", ,Other (specify below),Lateral @ private business; no cleanouts,4,clay,50,Other (specify below),Required store to discontinue use.  Store is working with contractors for restoration & cleanup.,
13,1SSO10001,Active,808881,1055  Samoa Blvd,1200.0,Yes,Yes,No,800.0,200.0,40.865,-124.09076,1055 Samoa,Arcata,95521.0,Parking lot and inside commercial building,Inside Building or Structure, ,Building or Structure;Paved Surface;Separate Storm Drain;Surface Water, ,30-AUG-14 02.00.00.000000 PM,08/30/2014 14:50,08/30/2014 15:15,30-AUG-14 03.40.00.000000 PM,Other (specify below),unknown   problem went away on its own,"Commercial Property (Office, retail, etc.)", ,Lower Lateral (Private), , , , ,Contained all or portion of spill, ,
14,1SSO10001,Active,809022,1055 Samoa Bv.,600.0,Yes,No,Not Applicable - Spill did not reach a separate storm drainpipe,200.0,400.0,40.865,-124.091,1055 Samoa Bv.,Arcata,95521.0,,Inside Building or Structure;Lateral Clean Out (Private), ,Surface Water, ,31-AUG-14 02.00.00.000000 PM,08/31/2014 14:50,08/31/2014 15:15,31-AUG-14 03.40.00.000000 PM,Other (specify below),Unknown - plugged line, , ,Other (specify below),Private Lateral, ,clay,25,Cleaned-Up;Returned Portion of Spill to Sanitary Sewer System, ,
15,1SSO10001,Active,811316,River Community Homes 1061 Hallen Drive Arcata,100.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,0.0,0.0,40.900833,-124.079167, ,,,,Upper Lateral (Private), , , ,09-DEC-14 08.00.00.000000 AM,12/09/2014 08:00, ,,Other (specify below),unknown, , ,Other (specify below),unknown, , , , , ,
16,1SSO10001,Active,819283,Szechuan Garden,637.0,Yes,Yes,No,0.0,637.0,40.876403,-124.083693,752 18th Street,Arcata,95521.0,Decrepit building sewer is allowing some sewage to reach stormwater conveyance,Other sewer system structure,Underneath building/ stormdrain DI,Surface Water,Jolly Giant Creek,28-OCT-15 08.00.00.000000 AM,10/29/2015 14:22,10/30/2015 17:00,30-OCT-15 05.00.00.000000 PM,Other (specify below),Decrepit Building Plumbing,Food Service Establishment (FSE), ,Other (specify below),Underneath Restaurant, , , ,Property Owner Notified, ,
17,1SSO10001,Active,825570,1945 G Street,250.0,Yes,No,Not Applicable - Spill did not reach a separate storm drainpipe,0.0,250.0,40.877397,-124.083396,1945 G,Arcata,95521.0,Private Sewer Pump Box,Pump station, ,Unpaved surface, ,01-FEB-16 01.30.00.000000 PM,02/01/2016 14:15,02/01/2016 14:15,01-FEB-16 02.30.00.000000 PM,Other (specify below),Private Sewer Pump Box Failed,"High Density Residential (5 or more units - Apartments, Condos, etc.)", ,Other (specify below),Private Sewer Pump Box, , , ,Property Owner Notified, ,
18,1SSO10001,Active,828995,1945 G Street,110.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,110.0,0.0,40.877457,-124.08359,1945 G,Arcata,95521.0,,Pump station, ,Paved Surface, ,09-OCT-16 09.36.00.000000 AM,10/09/2016 10:11,10/09/2016 10:36,09-OCT-16 11.59.00.000000 AM,Pump Station Failure-Controls, , , ,Pump Station-Controls, , , , ,Cleaned-Up;Mitigated Effects of Spill;Contained all or portion of spill;Property Owner Notified, ,
19,1SSO10003,Active,808882,Bay Flat Rd. at East Shore Rd.  94923,100.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,0.0,0.0,38.335667,-123.04975, ,,,"Private Lateral Cleanout located in parking area at Compass Rose Gardens in Bodega Bay, CA.",Lateral Clean Out (Private), ,Paved Surface, ,01-SEP-14 07.00.00.000000 AM,09/01/2014 08:20,09/01/2014 08:30,01-SEP-14 08.30.00.000000 AM,Root Intrusion, ,Mixed Use Property,Property includes commercial & residential structures.,Lower Lateral (Private), ,4,paper / roots, ,Cleaned-Up;Mitigated Effects of Spill;Contained all or portion of spill;Returned Portion of Spill to Sanitary Sewer System;Property Owner Notified, ,
20,1SSO10014,Active,719745,2nd. & Yst. Tarrget Store,10.0,No,No,Not Applicable - Spill did not reach storm drainpipe,0.0,0.0,40.806318,124.146031,2nd.St &Yst. 2nd. & Y st.,,,,Gravity sewer, ,Other paved surface, ,16-JUN-08 08.00.00.000000 PM,06/16/2008 20:00,06/16/2008 20:00,16-JUN-08 08.30.00.000000 PM,Grease deposition (FOG), ,,, , , , , ,Contained all or portion of spill, ,
21,1SSO10014,Active,731453,1625 G Street,60.0,Yes,Yes,No,0.0,0.0,40.7925,124.1625,1625 G Street,Eureka,95501.0,Broken lateral under Apt. Buliding,Building or structure,Comeing from foundation,Storm drain, ,05-JAN-09 02.30.00.000000 PM,01/05/2009 14:30,01/05/2009 14:30,05-JAN-09 03.00.00.000000 PM,Pipe structural problem/failure, ,,, , , , , ,Other (specify below),Contacted property Owner to control and clean up,
22,1SSO10014,Active,740672,Eureka lodge,200.0,No,No,Not Applicable - Spill did not reach storm drainpipe,200.0,0.0,40.804722,-124.1525,1805 4th. St. aka Why 101,Eureka,95501.0,,Building or structure, ,Street/curb and gutter, ,05-JUL-09 10.15.00.000000 AM,07/05/2009 10:05,07/05/2009 10:15,05-JUL-09 10.29.00.000000 AM,Other (specify below),Private Lateral Pluged,,, , , , , ,Returned all or portion of spill to sanitary sewer system, ,
23,1SSO10014,Active,742241,Gonsea Restaurant,10.0,Yes,Yes,No,200.0,10.0,40.804722,-124.146111,2335 4th. St 4th. aka Hwy. 101,Eureka,95501.0,,Other sewer system structure,Clean Out in Parking lot @ 2335 4th. St.,Storm drain,"Spill enterd Storm Drain on Cal Trans right of way, than ran north on 4th. St. to Drop Inlet that drains to Eureka Slough.",02-AUG-09 01.10.00.000000 PM,08/02/2009 13:25,08/02/2009 13:30,02-AUG-09 04.00.00.000000 PM,Grease deposition (FOG),Lateral pluged with Grease,,,Upper Lateral, ,4,SDR, ,Returned all or portion of spill to sanitary sewer system,City of Eureka Work forces Vactored up and recoverd apx. 190 gals. and returned ot sewer sys. and washed down street.,
24,1SSO10014,Active,743002,Opera Alley,10.0,No,No,Not Applicable - Spill did not reach storm drainpipe,10.0,0.0,40.803056,-124.169167,421 2nd. St. 2nd. St.,Eureka,95501.0,In alley behind 421 2nd. St.,Other sewer system structure,Clean out,Other paved surface, ,13-AUG-09 08.00.00.000000 AM,08/13/2009 08:00,08/13/2009 08:10,13-AUG-09 08.15.00.000000 AM,Pipe structural problem/failure, ,,, , , , , ,Cleaned-up (mitigated effects of spill), ,
25,1SSO10014,Active,750443,Harper Motors,40.0,Yes,No,Not Applicable - Spill did not reach storm drainpipe,0.0,40.0,40.79282,-124.15119,4800 Highway 101,Eureka,95501.0,,Force main or pressure sewer, ,Surface water, ,09-MAR-10 02.10.00.000000 PM,03/09/2010 14:10,03/09/2010 14:10,09-MAR-10 02.25.00.000000 PM,Pipe structural problem/failure, ,,, , , , , ,Other (specify below),"Harper Motors has a pressure sewer pump station, and their pressure line had a coupling fail. Harper Motors turned off power to pump as soon as we contacted them, and had a plumber on site within an hour and made the repair by 1600 hrs.",
26,1SSO10014,Active,797901,1911 Hilfiker Lane,200.0,Yes,Yes,No,200.0,1.0,40.771944,-124.192778,1911 Hilfiker Lane,Eureka,95501.0,spill from on site pump station,Force main or pressure sewer, ,Other (specify below),holding pond for Ocean View Cemertry,14-AUG-13 11.20.00.000000 AM,08/14/2013 11:20,08/14/2013 11:20,14-AUG-13 11.30.00.000000 AM,Pump station failure, ,,,Other (specify below),"on site pump station @ 1911 Hilfiker Lane, Eureka", , , ,Cleaned-up (mitigated effects of spill),"City of Eureka dispatched Vacon truck to vac up spill from Gutter, and washed down street, we recoverd 200 gals with wash down water. put 6 rivers Property Management on notices that they need to make repairs , and make there alarm system tamper prof",
27,1SSO10014,Active,802741,2926 California St.,5.0,Yes,Yes,No,0.0,5.0,40.78125,-124.17323,2926 California St.,Eureka,95501.0,From open clean out in the Alley behind 2926 California St.,Lateral Clean Out (Private), ,Paved Surface, ,10-JAN-14 02.40.00.000000 PM,01/10/2014 14:40,01/10/2014 14:45,10-JAN-14 02.45.00.000000 PM,Debris-General, ,"High Density Residential (5 or more units - Apartments, Condos, etc.)", ,Upper Lateral (Private), , , , ,Mitigated Effects of Spill,"City of Eureka staff responed to the site after being notified by our Buliding Dept. of a discharge from a clean out on the back side of 2926 Calif. we washed down the alley and vactored up the spill and wash down water,",
28,1SSO10014,Active,802781,2926 California St,150.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,150.0,0.0,40.78125,-124.17323,2926 California St.,Eureka,95501.0,spill is from a clean out in the alley behind 2926 Calif. St.,Lateral Clean Out (Private), ,Paved Surface, ,15-JAN-14 09.35.00.000000 AM,01/15/2014 09:35,01/15/2014 09:45,15-JAN-14 10.43.00.000000 AM,Debris-General, ,"High Density Residential (5 or more units - Apartments, Condos, etc.)", ,Upper Lateral (Private), , , , ,Returned All Spill to Sanitary Sewer System,"city of Eureka responded with our Vacon truck and plased it up stream from the spill on Harris st. to recover the spill and wash down water, and then desposed at our WW treament plant.",
29,1SSO10014,Active,802782,2926 California St,150.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,150.0,0.0,40.78125,-124.17323,2926 California St.,Eureka,95501.0,spill is from a clean out in the alley behind 2926 Calif. St.,Lateral Clean Out (Private), ,Paved Surface, ,15-JAN-14 09.35.00.000000 AM,01/15/2014 09:35,01/15/2014 09:45,15-JAN-14 10.43.00.000000 AM,Debris-General, ,"High Density Residential (5 or more units - Apartments, Condos, etc.)", ,Upper Lateral (Private), , , , ,Returned All Spill to Sanitary Sewer System,"city of Eureka responded with our Vacon truck and plased it up stream from the spill on Harris st. to recover the spill and wash down water, and then desposed at our WW treament plant.",
30,1SSO10016,Active,821710,333 Enterprise/Copeland Creek,600.0,Yes,Yes,No,0.0,600.0,0.0,0.0,333 Enterprise Drive,Rohnert Park,94928.0,Clean out overflowed at south end of apartment complex near Apt #39 adjacent to a pathway within apartment complex,Lateral Clean Out (Private), ,Drainage Channel, ,26-JAN-15 08.53.00.000000 AM,01/26/2015 08:53,01/26/2015 09:10,26-JAN-15 10.30.00.000000 AM,Debris-General, ,"High Density Residential (5 or more units - Apartments, Condos, etc.)", ,Upper Lateral (Private), , , , ,Cleaned-Up;Mitigated Effects of Spill;Property Owner Notified;Other Enforcement Agency Notified, ,
31,1SSO10017,Active,772825,7755 & 7759 Bodega Ave,15.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,15.0,0.0,38.397858,-122.832525,7755 & 7759 Bodega,Sebastopol,95472.0,SSCO in landscape area,Other (specify),SSCO in landscape area,Unpaved surface, ,12-OCT-11 09.05.00.000000 AM,10/13/2011 09:20,10/13/2011 09:25,13-OCT-11 09.20.00.000000 AM,Root intrusion, ,,,Upper Lateral, ,4, , ,Inspected sewer using CCTV to determine cause;Restored flow;Returned all or portion of spill to sanitary sewer system, ,
32,1SSO10017,Active,784231,259 Murphy Avenue,100.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,10.0,0.0,38.400967,-122.831892,259 Murphy,Sebastopol,95472.0,Sanitary Sewer Lateral Clean Out,Other (specify),Sanitary Sewer Lateral Clean Out,Other paved surface;Unpaved surface, ,23-JUL-12 03.00.00.000000 PM,07/25/2012 15:00,07/25/2012 15:10,25-JUL-12 03.00.00.000000 PM,Root intrusion, ,,,Main, ,6,Clay, ,Cleaned-up (mitigated effects of spill);Contained all or portion of spill;Restored flow;Returned all or portion of spill to sanitary sewer system, ,
33,1SSO10017,Active,785379,250 South Main Street,150.0,Yes,Yes,No,30.0,120.0,38.400833,-122.823056,250 South Main,Sebastopol,95472.0,Private lateral SSO to SD/Surface water,Gravity sewer,Private lateral,Separate storm drain;Street/curb and gutter;Surface water,SD/creek to surface water,21-AUG-12 12.00.00.000000 PM,08/21/2012 12:00,08/21/2012 12:05,21-AUG-12 12.15.00.000000 PM,Grease deposition (FOG),Grease,,,Upper Lateral,Lateral in parking lot to restaurant,4, , ,Cleaned-up (mitigated effects of spill);Contained all or portion of spill;Restored flow;Returned all or portion of spill to sanitary sewer system, ,
34,1SSO10018,Active,745923,Little Lake Health Center,20.0,No,No,Not Applicable - Spill did not reach storm drainpipe,20.0,0.0,39.400556,-123.352222,71 Madrone,Willits,95490.0,"The spill appeared in an alley at 71 Madrone, but the origin of the blockage occurred at 45 Hazel.",Other (specify),Lateral Clean out,Street/curb and gutter, ,21-OCT-09 03.00.00.000000 PM,10/21/2009 15:05,10/21/2009 15:15,21-OCT-09 03.00.00.000000 PM,Other (specify below),Paper Towels,,,Lower Lateral, ,4,pvc,5,Cleaned-up (mitigated effects of spill);Contained all or portion of spill;Restored flow;Returned all or portion of spill to sanitary sewer system;Other (specify below),"We vacuumed the spill, jetted the line and street sweeped the spill site",
35,1SSO10019,Active,752614,138 Brookside drive,300.0,No,No,Not Applicable - Spill did not reach storm drainpipe,0.0,0.0,38.79253,-123.01274, ,,,,Other (specify),Under house-foundation,Other (specify below),"under house- then drained back into sewer line via lateral. Cap on cleanout was off and when clog cleared, sewer under house drained into pipe.",22-MAY-10 10.45.00.000000 AM,05/22/2010 00:00,05/22/2010 05:00,22-MAY-10 03.00.00.000000 PM,Debri-Rags, ,,,Main, , , , ,Cleaned-up (mitigated effects of spill);Restored flow;Returned all or portion of spill to sanitary sewer system,"Company called to clean-up under house, sanitize etc.",
36,1SSO10022,Active,729257,250 9th Street,200.0,No,Yes,No,0.0,200.0,41.753785,124.206918,250 9th,Crescent City,95531.0,"The spill occured in front of the Masonic Lodge at their clean out, behind the sidewalk, on 9th Street.",Other (specify),Cleanout,Other (specify below),Crescent City Harbor,29-OCT-08 03.15.00.000000 PM,10/29/2008 15:30,10/29/2008 15:32,29-OCT-08 03.34.00.000000 PM,Other (specify below),Rag in lateral,,,Lower Lateral, , , , ,Cleaned-up (mitigated effects of spill), ,
37,1SSO10027,Active,721414,Abraxas Apartment,50.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,0.0,0.0,40.5774,-124.2631, Main Street,Ferndale,95536.0,Actual spill was inside an apartment from a back-up caused by a blocked sewer lateral,Building or structure, ,Building or structure, ,30-APR-08 09.00.00.000000 AM,05/01/2008 09:00,05/01/2008 09:15,30-APR-08 02.00.00.000000 PM,Pipe structural problem/failure, ,,,Upper Lateral, ,4,VCP,60,Cleaned-up (mitigated effects of spill);Contained all or portion of spill;Inspected sewer using CCTV to determine cause;Restored flow, ,
38,1SSO10030,Active,780418,Dana Meyers,30.0,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,0.0,0.0,41.61857,-122.83513,12813 Marbleveiw,Fort Jones,96032.0,Private lift pump failure,Pump station, ,Unpaved surface, ,02-APR-12 12.00.00.000000 AM,04/17/2012 00:00,04/17/2012 00:00,21-APR-12 12.00.00.000000 AM,Pump station failure, ,,,Lower Lateral, , , , ,Contained all or portion of spill, ,
39,1SSO10033,Active,784651,Residance & Church of Christ on Donald Street and Brush Street,,No,No,Not Applicable - Spill did not reach a separate storm drainpipe,,,38.43419,-122.86697, Edison,Graton,95444.0,,Building or structure, ,Building or structure, ,03-AUG-12 01.32.52.000000 PM,April 00:30,April 00:15,,Pipe structural problem/failure,Lack of a back flow prevention device which is recomemened in GCSD Ordinance 100.,,,Lower Lateral, ,6,AC,1975,Returned all or portion of spill to sanitary sewer system, ,
40,1SSO10037,Active,734145,317 Healdsburg Avenue - Dry Creek Kitchen,200.0,No,Yes,Yes,300.0,0.0,38.610556,122.870556,317 Healdsburg Avenue,Healdsburg,95448.0,,Manhole, ,Storm drain, ,13-JAN-09 12.21.00.000000 AM,01/13/2009 00:31,01/13/2009 00:34,13-JAN-09 12.45.00.000000 AM,Grease deposition (FOG), ,,,Upper Lateral, ,4,PVC, ,Cleaned-up (mitigated effects of spill);Contained all or portion of spill;Returned all or portion of spill to sanitary sewer system, ,
41,1SSO10037,Active,735870,608 University Avenue,2000.0,Yes,Yes,No,1200.0,800.0,38.328247,-122.706711,608 University,Healdsburg,95448.0,Mainline root blockage at 608 University Avenue,Gravity sewer, ,Storm drain, ,16-FEB-09 03.59.00.000000 PM,02/16/2009 18:45,02/16/2009 16:15,16-FEB-09 07.30.00.000000 PM,Root intrusion, ,,,Main,Root blockage in main causes private lateral overflow,4,PVC,40,Cleaned-up (mitigated effects of spill);Contained all or portion of spill;Inspected sewer using CCTV to determine cause;Restored flow;Returned all or portion of spill to sanitary sewer system,"containment, mitigation, return to service",
42,1SSO10037,Active,742248,819 Center Street,2.0,No,No,Not Applicable - Spill did not reach storm drainpipe,2.0,0.0,38.620556,-122.870556,819 Center,Healdsburg,95448.0,Private cleanout cap removed and 2 gallons overflowed before public works crew responded and cleared private lateral blockage,Gravity sewer, ,Other (specify below),Front lawn,03-JUN-09 12.04.00.000000 PM,06/03/2009 13:46,06/03/2009 12:20,03-JUN-09 12.16.00.000000 PM,Root intrusion, ,,,Upper Lateral, ,4,Clay, ,Cleaned-up (mitigated effects of spill);Contained all or portion of spill;Inspected sewer using CCTV to determine cause;Restored flow;Returned all or portion of spill to sanitary sewer system, ,
43,1SSO10037,Active,751141,308 Burgundy Road,50.0,No,No,Not Applicable - Spill did not reach storm drainpipe,50.0,0.0,38.63962,-122.87875,308 Burgundy,Healdsburg,95448.0,Private property landslide breaks property side cleanout at wye connection.  Local ground/grass saturated with sewage - 25 square feet.,Gravity sewer,saturated ground near private-side sewer cleanout on private property,Unpaved surface, ,23-MAR-10 08.22.00.000000 AM,03/23/2010 08:35,03/23/2010 08:45,23-MAR-10 10.40.00.000000 AM,Other (specify below),"landslide, then consequent pipe failure",,,Other (specify below),upper and lower lateral on private property,4,Plastic,15,Cleaned-up (mitigated effects of spill);Contained all or portion of spill;Inspected sewer using CCTV to determine cause;Restored flow;Returned all or portion of spill to sanitary sewer system;Other (specify below),All saturated soil in 25 square foot area was excavated and removed to the City Corporation Yard and tarped for runoff protection.,
44,1SSO10037,Active,757453,Poppy Hill Drive /Clear Ridge Drive,20.0,No,Yes,Yes,20.0,0.0,38.63415,-122.8682,None Poppy Hill Drive,Healdsburg,95448.0,"Porta Potty  tipped over. on Private property,  tank contents  spilled into gutter,traveled  down the storm drain inlet.All sewage was c ontained to the  storm drain inlet box. The area was dry as it happened  days earlier. you could see the blue colored stain on the curb and gutter",Other (specify),"Potra potty tipped over. There was just a blue  dry stain on the sidewalk, curb and gutter travling down to the storm drain box. The storm drain box was also dry . Clearly a spill of the contents of the porta potty",Storm drain,The curb and gutter was washed down with water while  the truck mounted vacuum recovered all of the liquid and contaminants at the storm drain inlet,09-SEP-10 12.00.00.000000 AM,09/13/2010 00:00,09/13/2010 10:00,13-SEP-10 10.00.00.000000 AM,Vandalism, ,,,Other (specify below),"Property owner placed the porta potty to close to  the curb and gutter. when it tipped over, the liquid spilled into the gutter", , , ,Contained all or portion of spill,"Notified the property owner to move the porta potty away fro the property line, to prevent  this from happening again.",
