Wdid	Status	Last Updated On	CS Type	SSOq Population Served	SSOq Annual O M Budget	SSOq Annual Cap Exp Budget	SSOq Entry Individuals	SSOq Journey Individuals	SSOq Super Individuals	SSOq Manage Individuals	SSOq Grade I Maint	SSOq Grade I Plant	SSOq Grade II Maint	SSOq Grade II Ei	SSOq Grade II Mechanical	SSOq Grade III Maint	SSOq Grade III Ei	SSOq Grade III Mechanical	SSOq Grade IV Maint	SSOq Grade IV Ei	SSOq Grade IV Mechanical	SSOQ_CSU_I	SSOQ_CSU_II	SSOQ_PIPE_6_GRAVITY	SSOQ_PIPE_6_FORCE	SSOQ_PIPE_8_GRAVITY	SSOQ_PIPE_8_FORCE	SSOQ_PIPE_9_18_GRAVITY	SSOQ_PIPE_9_18_FORCE	SSOQ_PIPE_19_36_GRAVITY	SSOQ_PIPE_19_36_FORCE	SSOQ_PIPE_36_GRAVITY	SSOQ_PIPE_36_FORCE	SSOQ_PIPE_UNKNOWN_GRAVITY	SSOQ_PIPE_UNKNOWN_FORCE	SSOQ_PIPE_TOTAL_GRAVITY	SSOQ_PIPE_TOTAL_FORCE	SSOQ_MILES_OF_FORCE_MAIN	SSOQ_MILES_OF_GRAVITY_SEWER	SSOQ_MILES_OF_LATERALS	SSOQ_PORTION_OF_LTERL_RESPSBLE	SSOQ_MILES_OF_LTERL_RESPSBLE	SSOQ_NO_SERVICE_LATERAL	SSOQ_UNKNOWN_GRAVITY	SSOQ_UNKNOWN_OVER	SSOQ_UNKNOWN_UNDER	SSOQ_CONSTRUCTED_BEFORE_1900	SSOQ_BEFORE_1900_OVER	SSOQ_BEFORE_1900_UNDER	SSOQ_CONSTRUCTED_1900_1919	SSOQ_1900_1919_OVER	SSOQ_1900_1919_UNDER	SSOQ_CONSTRUCTED_1920_1939	SSOQ_1920_1939_OVER	SSOQ_1920_1939_UNDER	SSOQ_CONSTRUCTED_1940_1959	SSOQ_1940_1959_OVER	SSOQ_1940_1959_UNDER	SSOQ_CONSTRUCTED_1960_1979	SSOQ_1960_1979_OVER	SSOQ_1960_1979_UNDER	SSOQ_CONSTRUCTED_1980_1999	SSOQ_1980_1999_OVER	SSOQ_1980_1999_UNDER	SSOQ_CONSTRUCTED_2000_CURRENT	SSOQ_AFTER_2000_OVER	SSOQ_AFTER_2000_UNDER	SSOQ_TOTAL_GRAVITY	SSOQ_TOTAL_OVER	SSOQ_TOTAL_UNDER	SSOQ_INACCESSIBLE_SEWER_MILES	SSOQ_SEWER_CLEAN_PRODUCTION	SSOQ_GRAVITY_SEWER_INSPECTION	SSOQ_SSF_AVERAGE_DRY	SSOQ_SSF_PEAK_WET	SSOQ_TO_TYPE_1	SSOQ_TO_NAME_1	SSOQ_TO_WDID_1	SSOQ_26_COUNT	SSOQ_TRIBUTARY_SSS	SSOQ_TRIBUTARY_1	SSOQ_TRIBUTARY_NAME_1	SSOQ_TRIBUTARY_WDID_1	SSOQ_27B_COUNT	SSOQ_GRAVITY_AERIAL_CROSS	SSOQ_FORCE_AERIAL_CROSS	SSOQ_SIPHONS_CONVEY_SEWAGE	
1SSO10018	Active	07/26/2016	Municipal (Public)	5,000	490,501	0	1	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	42	0	29	0	27	0	2	0	0	0	0	0	100	0	0.1	23.2	14.4	lower	18.4	2381	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	15	0	0	65	0	0	12	0	0	100	0	0	2	4	0.4	.5	6.5	WWTP same agency	WillitsWasteWater Treatment Plant	1B80078OMEN	4	No	 	 	 	5	9	0	5	
1SSO10019	Active	04/04/2016	Municipal (Public)	8,500	750,000	345,000	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	60	1	25	0	5	0	5	0	5	0	0	0	100	100	0.1	33	21	none	0	3200	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	30	0	0	57	0	1	10	0	0	100	0	1	0	8	2	500,000	3,000,000	WWTP same agency	City of Cloverdale	1B884032OSON	4	No	 	 	 	5	2	0	0	
1SSO10020	Active	03/06/2017	School	4,800	35,000	15,000	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	22	0	0	0	0	0	0	0	0	0	100	0	0.0	2.1	0.4	upperLower	0.4	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	1	0	0	0	6	0	0	100	0	1	0.1	0.1	0	0.024	0.1	WWTP same agency	College of the Redwoods WWTP	1B801210HUM	4	No	 	 	 	5	1	1	0	
1SSO10021	Active	03/31/2017	Municipal (Public)	410	227,271	3,600	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	17	0	20	0	0	0	0	0	0	0	100	0	0	4.2	2	lower	1	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	7	0	1	25	0	2	100	0	3	0.5	0	0.2	.038	.067	WWTP same agency	Covelo CSD	1B830090MEN	4	No	 	 	 	5	1	0	0	
1SSO10022	Active	03/01/2017	Municipal (Public)	5,500	253,214	1,765,000	6	6	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	75	20	13	0	10	80	2	0	0	0	0	0	100	100	0.7	13	18	lower	9	1500	0	0	0	0	0	0	0	0	0	4	0	0	5	0	0	63	1	4	20	0	0	8	0	1	100	1	5	0	6.5	0.2	1.14	5.07	WWTP same agency	City of Crescent City WWTF	1A8400060DN	4	Yes	No	Del Norte County CSA	NA	5	1	1	0	
1SSO10023	Active	01/11/2016	Municipal (Public)	9,250	225,000	20,000	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	75	67	12	7	13	26	0	0	0	0	0	0	100	100	3.9	32.5	26	lower	10	2310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	0	70	10	0	20	2	0	100	15	0	0.3	6	4	0.8	4.2	WWTP other agency	Crescent City Waste Water treatment Plant	1A84006ODN	4	No	 	 	 	5	0	0	0	
1SSO10024	Active	02/17/2016	Municipal (Public)	938	119,000	3,000	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	100	0	0	0	0	100	0	0	0	0	0	0	100	100	0.4	6.1	6.1	upperLower	6.1	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	1	0	5	0	1	5	0	0	100	1	1	0	0.6	0.5	88,830	73,602	WWTP same agency	City of Dorris WWTP	1A77141OSIS	4	No	 	 	 	5	0	0	0	
1SSO10025	Active	08/01/2016	Municipal (Public)	765	139,457	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	8	0	42	0	50	0	0	0	0	0	0	0	100	0	0	5	1	lower	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	10	0	0	70	0	0	100	0	0	0	5	0	1.3	1.6	WWTP same agency	City of Etna Collection System	1SSO10025	4	No	 	 	 	5	0	0	0	
1SSO10027	Active	02/02/2017	Municipal (Public)	1,200	800,000	100,000	3	2	1	1	0	00	0	0	0	0	0	0	0	0	0	0	0	60	0	13	0	27	0	0	0	0	0	0	0	100	0	0	9	0	lower	2	800	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	5	0	0	5	0	0	10	0	0	100	0	0	0.5	1.5	12	.1	2	WWTP same agency	City of Ferndale	1SSO10027	4	No	 	 	 	5	3	0	0	
1SSO10028	Active	03/31/2017	Municipal (Public)	865	650,000	90,000	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	100	10	0	30	0	0	0	0	0	0	0	100	100	1.0	6.5	3.4	lower	1.7	438	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	1	1	50	0	0	100	1	1	0	3.3	0.2	75,000	350,000	WWTP same agency	Forestville Water District Wastwater Treatment, Re	1B83100OSON	4	No	 	 	 	5	0	0	0	
1SSO10030	Active	12/07/2016	Municipal (Public)	616	36,000	10,000	0	3	1	1	2	0	0	0	0	0	0	0	0	0	0	1	1	50	0	40	0	10	0	0	0	0	0	0	0	100	0	0.1	6	2.8	none	0	343	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	20	0	0	30	0	0	20	0	0	100	0	0	0.3	2	1	.040	.040	WWTP same agency	na	na	4	No	 	 	 	5	2	0	0	
1SSO10031	Active	01/10/2017	Municipal (Public)	12,295	489,000	10,500,000	2	16	4	1	1	1	0	0	0	0	0	0	0	0	0	1	1	75	90	20	10	5	0	0	0	0	0	0	0	100	100	2	42	8	lower	3	5000	0	0	0	0	0	0	5	0	0	15	0	0	20	0	0	25	0	0	25	0	0	10	1	6	100	1	6	2	22	3	.750	4.5	WWTP same agency	Tom Cooke Memorial WWTP	1B83135OHUM	4	No	 	 	 	5	0	0	0	
1SSO10032	Active	12/16/2016	Municipal (Public)	1,300	75,888	26,051	1	1	1	1	0	2	0	0	0	0	0	0	0	0	0	1	1	100	100	0	0	0	0	0	0	0	0	0	0	100	100	1	10	4	lower	2	282	0	2	2	0	0	0	0	0	0	23	0	0	23	0	0	50	0	0	2	0	0	2	0	0	100	2	2	1	2	0	.027	.489	SSS same agency	Garberville Sanitary District	1SSO10032	4	No	 	 	 	5	0	0	0	
1SSO10033	Active	04/12/2016	Municipal (Public)	1,815	1,153,200	340,815	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	100	20	0	0	0	0	0	0	0	100	100	0.3	5.9	4	none	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	1	1	0	0	0	0	0	0	100	1	1	0	0	0	.070	.396	WWTP same agency	Graton Community Services District	1B84060OSON	4	No	 	 	 	5	0	0	0	
1SSO10035	Active	03/28/2017	Municipal (Public)	652	600,004	129,591	1	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	55	60	45	40	0	0	0	0	0	0	0	0	100	100	5	9	4.5	lower	3	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	100	100	0	1	1	0.0650	0.1760	SSS other agency	The Sea Ranch Go;f Links	92-121	4	Yes	No	The Sea Ranch NTP	94-4	5	0	1	0	
1SSO10036	Active	05/09/2016	Municipal (Public)	927	110,000	87,000	0	0	0	1	1	na	na	na	na	0	na	na	na	na	na	0	0	0	100	100	0	0	0	0	0	0	0	0	0	100	100	4	20	na	none	0	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	1	5	100	1	5	0	0	0	.180	.340	WWTP same agency	Happy Camp Sanitary district	none	4	No	 	 	 	5	1	0	1	
1SSO10037	Active	03/13/2017	Municipal (Public)	11,564	6,048,707	1,960,000	3	14	3	2	7	1	1	2	0	0	0	0	0	0	0	1	0	28	50	40	0	22	0	10	50	0	0	0	0	100	100	2.9	54	90	lower	54.5	4689	0	0	0	0	0	0	0	0	0	10	0	0	56	0	0	16	1	8	14	0	1	4	0	0	100	1	9	0	7	3	1.4	4.0	WWTP same agency	Healdsburg City	1SSO10037	4	No	 	 	 	5	0	2	0	
1SSO10038	Active	04/08/2016	Municipal (Public)	1,200	173,000	94,000	0	2	1	1	2	0	2	0	0	0	0	0	0	0	0	4	0	0	100	100	0	0	0	0	0	0	0	0	0	100	100	0.6	4.4	6	lower	3.8	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	2	0	0	8	0	0	100	0	0	0.6	0.8	0.2	.04	.125	WWTP same agency	Hopland Public Utility District	1SSO10038	4	No	 	 	 	5	3	1	0	
1SSO10040	Active	03/22/2016	Municipal (Public)	240	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	0	0	2	0.5	none	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	70	0	0	0	0	1	100	0	1	0	0	1	.013	.02	SSS same agency	leach fields 3-4-5	na	4	No	 	 	 	5	0	0	0	
1SSO10041	Active	12/08/2016	Municipal (Public)	2,530	485,300	254,000	1	3	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	85	98	8	2	7	0	0	0	0	0	0	0	100	100	12	37.7	2	lower	2	1010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	1	18	20	0	0	10	0	0	100	1	18	0	6	2	.105	.103	WWTP same agency	LSCSD WWTP	1A79100SIS	4	No	 	 	 	5	1	0	1	
1SSO10042	Active	02/12/2016	Municipal (Public)	750	12,000	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	17	0	0	0	0	0	0	0	0	100	100	100	0	2	1	lower	0.4	215	0	100	100	0	0	0	0	0	0	4	0	0	41	0	0	5	0	0	26	0	0	24	0	00	100	100	100	0.1	0.3	0.3	.045	0.702	WWTP same agency	Loleta WWTF	1B8008810HUM	4	No	 	 	 	5	0	0	0	
1SSO10043	Active	03/14/2017	Municipal (Public)	750	10,000	12,000	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	100	0	100	100	6.3	0	5.4	lower	5.4	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	50	0	100	0	0	0	100	0	100	0	0	0	.06	.165	WWTP same agency	Manila Ttreatment Plant	1b80162ohum	4	No	 	 	 	5	0	0	0	
1SSO10044	Active	03/10/2017	Municipal (Public)	15,700	2,156,000	15,807,000	1	9	1	2	0	0	0	0	0	2	0	0	1	0	0	1	0	80	83	9	0	11	17	0	0	0	0	0	0	100	100	1.7	66	29	none	0	5184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	24	60	40	11	0	0	100	60	40	6	12	1.5	.764	2.18	WWTP same agency	McKinleyville CSD	1B82084OHUM	4	No	 	 	 	5	6	0	0	
1SSO10045	Active	04/04/2017	Municipal (Public)	1,000	768,908	54,589	0	2	1	1	1	0	0	0	0	2	0	0	1	0	0	0	0	31	100	61	0	8	0	0	0	0	0	0	0	100	100	0.4	9	0	lower	0	404	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	90	0	2	0	0	1	0	0	0	100	0	3	0.4	3.1	3.1	.066	.273	WWTP same agency	Mendocino City CSD	ISO 10045	4	Yes	No	Russian Gulch State Parks	?	5	0	0	0	
1SSO10047	Active	03/01/2017	Municipal (Public)	550	55,000	10,000	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	100	0	0	5	3	lower	2	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	100	0	0	0	0	0	.035	.065	WWTP same agency	Miranda Community Services District	n/a	4	No	 	 	 	5	0	0	0	
1SSO10048	Active	02/10/2016	Municipal (Public)	1500	132,660	4,000	1	3	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	85	100	11	0	4	0	0	0	0	0	0	0	100	100	0.5	6.8	0	upperLower	0	506	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	100	0	5	0	0	5	0	0	100	100	0	0	6	2	.060	.140	WWTP same agency	City of Montague	1SSO10048	4	No	 	 	 	5	0	1	0	
1SSO10052	Active	05/31/2016	Municipal (Public)	350	217,000	160,000	2	9	3	2	0	0	1	1	1	0	0	0	0	0	0	1	0	94	0	3	100	3	0	0	0	0	0	0	0	100	100	0.7	4.4	2.1	none	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	100	3	0	0	2	00	0	100	0	100	1	0.9	0.9	0.018	0.080	SSS same agency	Oceana Marin (North Marin CWD) CS	1SSO10052	4	No	 	 	 	5	0	0	0	
1SSO10053	Active	01/06/2017	Municipal (Public)	501	206,307	64,923	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	95	100	5	0	0	0	0	0	0	0	0	0	100	100	1.1	2.1	2.1	none	0	176	0	0	0	0	0	0	0	0	0	75	0	0	10	0	0	0	0	100	10	0	0	5	0	0	100	0	100	0	1.8	0.1	.029	.0747	WWTP same agency	Percolation ponds	1B800450MEN	4	No	 	 	 	5	0	1	0	
1SSO10055	Active	11/16/2016	Municipal (Public)	1,226	379,958	32,700	0	2	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	10	100	70	0	20	0	0	0	0	0	0	0	100	100	5	15	3	lower	3	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	40	0	0	2	0	0	100	0	0	0.8	0	6	1	1	WWTP same agency	Redway Wastewater Plant	1B83147ohum	4	No	 	 	 	5	0	2	0	
1SSO10058	Active	03/25/2016	Municipal (Public)	3,100	550,000	100,000	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	5	0	5	100	0	0	0	0	0	0	100	100	0.5	25	7	lower	3	1200	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	35	2	0	25	0	0	25	0	0	100	2	0	0	5	1	.2	2.2	WWTP same agency	Rio Dell WWTP	1B83134ohum	4	No	 	 	 	5	0	1	1	
1SSO10062	Active	09/07/2016	Municipal (Public)	8,833	848,294	482,500	1	3	3	1	1	0	3	0	0	3	0	0	0	0	0	0	0	50	100	38	0	1	0	10	0	0	0	1	0	100	100	1	10	9.2	lower	4.6	1937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	100	0	0	4.5	10.7	10.6	0.54	1.31	WWTP same agency	Airport/Larkfield/Wikiup	1SSO10062	4	No	 	 	 	5	1	0	0	
1SSO10063	Active	09/07/2016	Municipal (Public)	782	106,700	60,000	1	3	3	1	1	0	3	0	0	3	0	0	0	0	0	0	0	56	100	39	0	5	0	0	0	0	0	0	0	100	100	1	4.3	1.3	lower	0.7	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	1	0	0	0	100	0	1	0.5	1.3	1.3	0.04	0.06	WWTP same agency	Geyserville	1SSO10063	4	No	 	 	 	5	0	0	0	
1SSO10064	Active	09/07/2016	Municipal (Public)	610	146,600	79,000	1	3	3	1	1	0	3	0	0	3	0	0	0	0	0	0	0	43	100	53	0	4	0	0	0	0	0	0	0	100	100	1.5	1	0.3	lower	0.2	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	1	0	0	0	0	0	0	100	0	1	0.1	1.8	0.6	0.01	0.07	WWTP same agency	Occidental County Sanitation District	1SSO10064	4	No	 	 	 	5	0	0	0	
1SSO10065	Active	09/07/2016	Municipal (Public)	220	30,600	22,300	4	2	1	1	3	0	2	0	0	1	0	0	1	0	0	0	0	97	100	3	0	0	0	0	0	0	0	0	0	100	100	0.5	3.4	0.5	lower	0.3	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	5	0	0	0	0	0	100	0	0	0	0	0	0.001	0.02	WWTP same agency	Sea Ranch - Central	1SSO10065	4	No	 	 	 	5	1	0	0	
1SSO10066	Active	09/07/2016	Municipal (Public)	880	122,700	27,200	4	2	1	1	3	0	2	0	0	2	0	0	1	0	0	0	0	84	69	5	8	9	0	0	0	0	0	2	23	100	100	2.3	13.4	2.2	lower	1.1	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	5	0	2	0	0	0	100	0	2	0	0	0	0.02	0.07	WWTP same agency	Sea Ranch - North	1SSO10066	4	No	 	 	 	5	0	0	0	
1SSO10067	Active	09/07/2016	Municipal (Public)	7,305	1,192,000	668,000	1	3	3	1	1	0	3	0	0	3	0	0	0	0	0	0	0	73	33	16	11	10	56	1	0	0	0	0	0	100	100	5	35	11.7	lower	5.7	2467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	2	9	0	0	0	100	2	9	3.4	8.9	3.1	0.14	0.48	WWTP same agency	Russian River CSD	1SSO10067	4	No	 	 	 	5	5	2	0	
1SSO10068	Active	02/05/2017	Municipal (Public)	500	197,396	13,000	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	0	0	0	0	100	100	1	22	12	lower	12	2504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	5	0	0	4	0	0	0	100	0	9	1	5	5	0.17	0.77	WWTP same agency	Resort Improvement District No. 1	1B84086OHUM	4	No	 	 	 	5	0	0	0	
