WDID	Status	Region	Agency	Collection System	County	LRO	Address Type	Street	City	Zip	Adopt Or Issuance Date	Effective Date	Expiration or Review Date	Termination Date	
1SSO10069	Active	1	CSU Sonoma	CSU Sonoma CS	Sonoma	Lawrence  Furukawa-Schlereth	AGENCY Mailing	1801 Cotati Avenue 	Rohnert Park	94928		11/22/2006			
1SSO10070	Active	1	South Park Cnty Sanitation Dist.	South Park CSD CS	Sonoma	David Hamilton Royall	AGENCY Mailing	404 Aviation Boulevard 	Santa Rosa	95403		10/16/2006			
1SSO10071	Historical	1	Tennant CSD	Tennant Csd St/Lf CS	Siskiyou	Stephen Lee Adams	AGENCY Mailing	13515 Tennant Road 	Macdoel	96058		08/17/2006			
1SSO10074	Active	1	Ukiah City	Ukiah City CS	Mendocino	Dan Hunt	AGENCY Physical	411 Clay Street 	Ukiah	95482		08/16/2006			
1SSO10078	Active	1	Weaverville Sanitary District	Weaverville SD CS	Trinity	Jim Cloud	AGENCY Mailing	 PO Box 1269  	Weaverville	96093		05/02/2006			
1SSO10079	Active	1	Weed City Dept of Public Works	Weed Shastina CS	Siskiyou	Craig  Sharp	AGENCY Physical	550 Main Street 	Weed	96094		12/13/2007			
1SSO10080	Active	1	Weott CSD	Weott CSD CS	Humboldt	Gary John Neumann	AGENCY Mailing	 PO Box 218  	Weott	95571		10/11/2006			
1SSO10081	Active	1	Westport CWD	Westport CWD CS	Mendocino	Joshua Craig Azevedo	AGENCY Mailing	 PO Box 82  	Westport	95488		01/05/2008			
1SSO10083	Historical	1	Wetherell Properties Inc.	Wetherell Mobile Home Park CS	Del Norte	Gary  Wetherell	AGENCY Mailing	400 Valley View Road 	Gasquet	95543		07/20/2006		12/08/2008	
1SSO10085	Active	1	Windsor Water District	Windsor Town CS	Sonoma	Michael  Carson	AGENCY Mailing	 PO Box 100  	Windsor	95492		11/06/2006			
1SSO10086	Active	1	Yreka City	Yreka City CS	Siskiyou	Steve  Baker	AGENCY Physical	701 Fourth Street  	Yreka	96097		11/27/2006			
1SSO10100	Active	1	Fieldbrook CSD	Fieldbrook Glendale CS	Humboldt	Richard  Hanger	AGENCY Mailing	4584 Fieldbrook Road 	Fieldbrook	95521		04/12/2016			
1SSO11000	Active	1	Ca Dept of Parks & Rec Duncans Mills	CDPR Salt Point State Park CS	Sonoma	Curtis Griffin	AGENCY Mailing	 PO Box 123  	Duncans Mills	95430		07/28/2008			
1SSO11173	Active	1	CSU Humboldt State University (HSU)	Humboldt State Univeristy CS	Humboldt	Kimberly Comet	AGENCY Mailing	1 Harpst Street 	Arcata	95521		06/23/2008			
1SSO11419	Active	1	Humboldt CSD	Humboldt CSD CS	Humboldt	David  Hull	AGENCY Mailing	 PO Box 158  	Cutten	95534		01/04/2007			
1SSO11441	Active	1	Brooktrails Township Community Services District	Brooktrails Township CS	Mendocino	Robert Melluish	AGENCY Mailing	24860 Birch Street 	Willits	95490	05/02/2006	01/08/2007	05/02/2011		
1SSO11454	Active	1	Ukiah City	Ukiah Valley Sanitation District CS	Mendocino	Don W. Brown	AGENCY Physical	411 Clay Street 	Ukiah	95482		01/03/2007			
1SSO11467	Active	1	Fort Bragg Municipal Improvement Dist 1	Fort Bragg City CS	Mendocino	Tom Z Varga	AGENCY Mailing	416 Franklin Street 	Fort Bragg	95437		01/08/2007			
1SSO11475	Active	1	Palmer Creek CSD	Palmer Creek CSD CS	Humboldt	Owen Farmer	AGENCY Mailing	 PO Box 309  	Fortuna	95540	05/02/2006	01/25/2007	05/02/2011		
1SSO11490	Active	1	U.S. Coast Guard	U.S. Coast Guard TRACEN CS	Sonoma	Tony Peter van Winden	AGENCY Mailing	599 Tomales Road 150	Petaluma	94952	05/02/2006	03/15/2007	05/02/2011		
1SSO11491	Active	1	Santa Rosa City Utilities Dept	Santa Rosa City CS	Sonoma	Ron Marincic	AGENCY Mailing	69 Stony Circle 	Santa Rosa	95401		04/24/2008			
1SSO11555	Active	1	Mendocino County Water Works District 2	Mendocino County Waterworks District 2 CS	Mendocino	Jennifer  Caughey	AGENCY Physical	35501 4 Highway 	Gualala	95445		03/17/2008			
1SSO11603	Active	1	Tulelake City	City of Tulelake CS	Siskiyou	Brett J Nystrom	AGENCY Mailing	 PO Box 847  	Tulelake	96134		01/25/2008			
1SSO11611	Active	1	Trinity County Waterworks District	Hayfork CS	Trinity	Craig Hair	AGENCY Mailing	 PO Box 217  	Hayfork	96041		03/29/2012			
1SSO11652	Active	1	Republic Services of Sonoma County	Central Landfill - Leachate Conveyance Line CS	Sonoma	Peter Pouwels	AGENCY Mailing	500 Mecham Road 	Petaluma	94952		05/02/2006			
1SSO11752	Active	1	Blue Lake City	Blue Lake City CS	Humboldt	Glenn Ross Bernard	AGENCY Mailing	 PO Box 458  	Blue Lake	95525		02/27/2012			
1SSO18109	Active	1	Lewiston Community Services District	Lewiston CS	Trinity		AGENCY Physical	302 Texas Avenue 	Lewiston	96052		03/18/2015	03/18/2020		
2SSO10087	Active	2	Alameda City	Alameda City CS	Alameda	Max  Arbios	AGENCY Physical	2263 Santa Clara Avenue Room 130	Alameda	94501		11/27/2006			
2SSO10088	Active	2	Albany City	Albany City CS	Alameda	Mark Vincent Hurley	AGENCY Mailing	1000 San Pablo Avenue 	Albany	94706		10/10/2006			
2SSO10089	Active	2	Almonte SD	Almonte sd CS	Marin	Dave Haflich	AGENCY Mailing	 PO Box 698  	Mill Valley	94941		08/16/2006			
2SSO10090	Active	2	Alto Sanitary District	Alto Sanitary District CS	Marin	Bill Hansell	AGENCY Mailing	 PO Box 163  	Mill Valley	94941		08/03/2006			
2SSO10091	Active	2	American Canyon City PWD	American Canyon, Public Works CS	Napa	Jason Holley	AGENCY Physical	205 Wetlands Edge Road 	American Canyon	94503		04/11/2006			
2SSO10092	Active	2	Ca Dept of Parks & Rec Marin District	Angel Island State Park CS	Marin	Shawn Powell	AGENCY Mailing	 PO Box 1016  	Novato	94948		10/16/2006			
2SSO10093	Active	2	Bayshore Sanitary District	Bayshore SD CS	San Mateo	Joanne Landi	AGENCY Mailing	36 Industrial Way 	Brisbane	94005		10/16/2006			
2SSO10094	Active	2	Belmont City	Belmont CS	San Mateo	Afshin Oskoui	AGENCY Mailing	1 Twin Pines Lane 385	Belmont	94002		10/10/2006			
2SSO10095	Active	2	Benicia City	Benicia City CS	Solano	Jeff  Gregory	AGENCY Mailing	370 L Street 	Benicia	94510	05/02/2006	01/03/2007	05/02/2011		
2SSO10096	Active	2	Berkeley City of Public Works	Berkeley City Public Works CS	Alameda	Jesus F. Sandoval	AGENCY Physical	1947 Center Street 400	Berkeley	94704		11/13/2006			
2SSO10097	Active	2	Brisbane City	Brisbane, City Of CS	San Mateo	Randy Breault	AGENCY Mailing	50 Park Place 	Brisbane	94005		10/11/2006			
2SSO10098	Active	2	Burbank Sanitary District	Burbank SD CS	Santa Clara	Ivy To	AGENCY Mailing	97 Boston Avenue 	San Jose	95128		05/11/2007			
2SSO10099	Active	2	Burlingame City PWD	Burlingame City CS	San Mateo	Jim  Brown	AGENCY Physical	1361 Carolan Avenue 	Burlingame	94010		07/11/2006			
2SSO10100	Active	2	City of Pacifica	Calera Crk Wtr Recycling Plant CS	San Mateo	Louis Sun	AGENCY Mailing	170 Santa Maria Avenue 	Pacifica	94044		08/15/2006			
2SSO10101	Active	2	CSU East Bay	CSU East Bay CS	Alameda	Donna Placzek	AGENCY Mailing	25800 Carlos Bee Boulevard 	Hayward	94542		11/03/2006			
2SSO10102	Active	2	Calistoga City PWD	Calistoga CS	Napa	Michael Kirn	AGENCY Mailing	414 Washington Street 	Calistoga	94515		09/12/2006			
2SSO10103	Active	2	Castro Valley Sanitary District	Castro Valley Sanitary District CS	Alameda	Landon Lochrie	AGENCY Mailing	21040 Marshall Street 	Castro Valley	94546		01/02/2007			
2SSO10104	Active	2	CCSF - San Francisco Airport	Ccsf - San Francisco Airport CS	San Francisco	George  Engel	LRO Mailing	 Mel Leong Treatment Plant  P.O. Box 8097	San Francisco	94128		11/16/2006			
2SSO10105	Active	2	Central Contra Costa Sanitary District	Central Contra Costa Sd CS	Contra Costa	Ed J Silva	AGENCY Mailing	5019 Imhoff Place 	Martinez	94553		10/25/2006			
2SSO10109	Active	2	Concord City	Concord City CS	Contra Costa	Darin Fitzpatrick	AGENCY Mailing	1950 Parkside Drive 10	Concord	94519		08/25/2006			
2SSO10110	Active	2	Los Altos City	Los Altos City CS	Santa Clara	Grant Martin Gabler	AGENCY Mailing	1 San Antonio Road 	Los Altos	94022		08/03/2006			
2SSO10111	Active	2	Mountain View City	Mountain View City CS	Santa Clara	Gregg Hosfeldt	AGENCY Physical	500 Castro St  	Mountain View	95132		07/21/2006			
2SSO10112	Active	2	Pinole City	Pinole City CS	Contra Costa	Tamara Miller	AGENCY Mailing	2131 Pear Street 	Pinole	94564		07/27/2006			
2SSO10113	Active	2	Pittsburg City	Pittsburg City CS	Contra Costa	Hilario Mata	AGENCY Mailing	65 Civic Avenue 	Pittsburg	94565		10/30/2006			
2SSO10114	Active	2	Sausalito City	Sausalito City CS	Marin	Jonathan Goldman	AGENCY Mailing	420 Litho Street 	Sausilito	94965		07/27/2006			
2SSO10115	Active	2	South San Francisco City	South San Francisco City CS	San Mateo	Louis  Langi	AGENCY Billing	550 Canal Street P.O. Box 711	South San Francisco	94083		08/10/2006			
2SSO10117	Active	2	Colma Town 	Colma City CS	San Mateo	Brad  Donohue	AGENCY Mailing	1198 El Camino Real  	Colma	94014	05/02/2006	01/02/2007	05/02/2011		
2SSO10120	Historical	2	Contra Costa County SD No 6	Contra Costa County SD 6 CS	Contra Costa	Susan  Cohen	AGENCY Mailing	255 Glacier Drive 	Martinez	94533		11/08/2006		11/16/2015	
2SSO10121	Historical	2	Contra Costa County SD No 5	Contra Costa County SD 5 CS	Contra Costa	Maurice  Shiu SD 5	AGENCY Mailing	255 Glacier Drive 	Martinez	94553		08/29/2006		08/25/2008	
2SSO10122	Historical	2	San Mateo County DPW	San Mateo County CS	San Luis Obispo	Mark Chow	AGENCY Mailing	555 County Center  5th Floor	Redwood City	94063		11/27/2006		06/30/2009	
2SSO10123	Active	2	County Sanitation District #2-3	CSD #2-3 CS	Santa Clara	Ivy To	AGENCY Mailing	20833 Stevens Creek Boulevard 104	Cupertino	95014		10/19/2006			
2SSO10124	Historical	2	Crest Marin	Crest Marin CS	Marin	Audrey  Romo	AGENCY Mailing	101 Cresta Circle 	San Rafael	94903		03/24/2009			
2SSO10125	Active	2	Cupertino Sanitary District	Cupertino SD CS	Santa Clara	Ivy To	AGENCY Mailing	20833 Stevens Creek Boulevard 104	Cupertino	95014		10/30/2006			
2SSO10127	Active	2	Delta Diablo Sanitation District	Delta Diablo SD CS	Contra Costa	Dean H Eckerson	AGENCY Mailing	2500 Pittsburg Antioch Highway 	Antioch	94509		08/14/2006			
2SSO10128	Active	2	Dublin San Ramon Services District (WWTP NPDES & SSO)	Dublin San Ramon Serv Dst CS	Alameda	Levi Fuller	AGENCY Mailing	7399 Johnson Drive 	Pleasanton	94588		08/14/2006			
2SSO10129	Active	2	East Palo Alto Sanitary District	East Palo Alto Sanitary Dist. CS	San Mateo	Jackey Jett Wilson	AGENCY Mailing	 PO Box 51686  	Palo Alto	94303		04/09/2007			
2SSO10131	Active	2	East Bay MUD (CS & SSOs)	Ebmud CS	Alameda	Maura Bonnarens	AGENCY Mailing	 PO Box 24055  704	Oakland	94623		01/09/2007			
2SSO10133	Active	2	Emeryville City	Emeryville City CS	Alameda	Keely  Nelson	AGENCY Mailing	1334 Park Avenue 	Emeryville	94608	05/02/2006	05/02/2006			
2SSO10134	Active	2	Fairfield City	Fairfield, Unincorporated Area CS	Solano	George  Hicks	AGENCY Mailing	1000 Webster Street 	Fairfield	94533		10/30/2006			
2SSO10135	Active	2	Foster City PWD	Foster City CS	San Mateo	Allen Smith	AGENCY Mailing	610 Foster City Boulevard 	Foster City	94404		12/20/2006			
2SSO10136	Active	2	Fairfield Suisun Sewer District	Fssd Subregional CS	Solano	Meg Herston	AGENCY Mailing	1010 Chadbourne Road 	Fairfield	94534		10/25/2006			
2SSO10138	Active	2	Granada SD	Granada Sd CS	San Mateo	Delia Comito	AGENCY Mailing	605 Third Street 	Encinitas	92024		10/30/2006			
2SSO10139	Active	2	Half Moon Bay City 	Half Moon Bay CS	San Mateo	Daniel Barros	AGENCY Mailing	501 Main St  	Half Moon Bay	94019		10/30/2006			
2SSO10140	Active	2	Hayward City	Hayward City CS	Alameda	Bert Weiss	AGENCY Mailing	777 B Street 	Hayward	94541		07/17/2006			
2SSO10141	Active	2	Hercules City	Hercules City CS	Contra Costa	John Joseph McGuire	AGENCY Mailing	111 Civic Drive 	Hercules	94547		08/21/2006			
2SSO10142	Active	2	Town Of Hillsborough	Town Of Hillsborough CS	San Mateo	Robert  Galindo	AGENCY Mailing	1600 Floribunda Avenue 	Hillsborough	94010		11/02/2006			
2SSO10143	Active	2	Homestead Valley Sanitary District	Homestead Valley Sanitary Dist CS	Marin	Bonner Beuhler	AGENCY Mailing	 PO Box 149  	Mill Valley	94941		08/03/2006			
2SSO10145	Active	2	Crockett Community Services District	Joint C&H-Cvsd Biological CS	Contra Costa	James Barnhill	AGENCY Mailing	 PO Box 578  	Crockett	94525		07/20/2006			
2SSO10147	Active	2	Las Gallinas Valley Sanitary District	Las Gallinas CS	Marin	Greg Pease	AGENCY Mailing	300 Smith Ranch Road 	San Rafael	94903		09/05/2006			
2SSO10148	Active	2	Livermore City	Livermore City CS	Alameda	Michael Wells	AGENCY Mailing	101 Jack London Boulevard 	Livermore	94551		10/11/2006			
2SSO10149	Active	2	Town of Los Altos Hills	Los Altos Hills CS	Santa Clara	Allen E Chen	AGENCY Mailing	26379 Fremont Road 	Los Altos Hills	94022		11/02/2006			
2SSO10151	Active	2	Marin Cnty Sanitary District 5	Marin Csd 5 - Tiburon Plant CS	Marin	Antonio  Rubio	AGENCY Mailing	 PO Box 227  	Tiburon	94920		08/14/2006			
2SSO10152	Active	2	Marin Cnty Sanitary District 5	Marin Csd 5 Paradise Cove CS	Marin	Antonio  Rubio	AGENCY Mailing	 PO Box 227  	Tiburon	94920		05/23/2007			
2SSO10154	Active	2	Mill Valley City	Mill Valley City CS	Marin	vijay sinha	AGENCY Mailing	26 Corte Madera Avenue 	Mill Valley	94941		08/24/2006			
2SSO10155	Active	2	Millbrae City	Millbrae City CS	San Mateo	Ray Mendez	AGENCY Mailing	400 Millbrae Avenue 	Millbrae	94030		09/20/2006			
2SSO10156	Active	2	Milpitas City	Milpitas City CS	Santa Clara	Nina  Hawk	AGENCY Mailing	455 Calaveras Boulevard 	Milpitas	95035		10/16/2006			
2SSO10157	Active	2	Montara	Montara CS	San Mateo	Clemends  Heldmaier	AGENCY Mailing	8888 Cabrillo Highway 	Montara	94037		10/30/2006			
2SSO10158	Active	2	Mt View Sanitary District	Mt. View SD CS	Contra Costa	Lilia  Corona	AGENCY Mailing	 PO Box 2757  	Martinez	94553		10/10/2006			
2SSO10159	Active	2	Napa Sanitation District	Napa Sd CS	Napa	Nick  Becker	AGENCY Mailing	 PO Box 2480  	Napa	94558		11/08/2006			
2SSO10160	Active	2	National Park Service, Golden Gate National Recreation Area	Golden Gate National Rec Area CS	San Francisco	Brian  Ullensvang	AGENCY Mailing	Bldg 201 Fort Mason  	San Francisco	94123		11/08/2006			
2SSO10161	Active	2	North San Mateo County Sanitation District	North San Mateo County CS	San Mateo	Tom Piccolotti	AGENCY Mailing	333 90th Street 	Daly City	94015		08/10/2006			
2SSO10162	Active	2	Novato Sanitary District	Novato And Ignacio CS	Marin	Erik  Brown	AGENCY Mailing	500 Davidson Street 	Novato	94945		08/10/2006			
2SSO10163	Active	2	Oro Loma Sanitary District	Oro Loma Sd CS	Alameda	Manuel Ramos Talledo-Garcia	AGENCY Physical	2655 Grant Alley 	San Lorenzo	94580		07/27/2006			
2SSO10164	Active	2	Palo Alto City	Palo Alto Regional CS	Santa Clara	Jorge Miguel Silva	AGENCY Physical	3201 Bay Shore Road 	Palo Alto	94303		10/16/2006			
2SSO10165	Active	2	Petaluma City DPW	Petaluma City CS	Sonoma	Kent Reynolds Carothers	AGENCY Physical	 P.O. Box  	Petaluma	94953		09/20/2006			
2SSO10166	Active	2	Piedmont City	Piedmont City CS	Alameda	Chester Gene Nakahara	AGENCY Mailing	120 Vista Avenue 	Piedmont	94611		05/14/2007			
2SSO10167	Active	2	Pleasanton City	Pleasanton City CS	Alameda	Leo Lopez	AGENCY Contact	 PO Box 520  	Pleasanton	94566		10/30/2006			
2SSO10168	Active	2	Redwood City	Redwood City CS	San Mateo	Dennis Bosch	AGENCY Physical	1017 Middlefield Road 	Redwood City	94063		09/05/2006			
2SSO10169	Active	2	Richardson Bay SD- Tiburon City	Richardson Bay Sd CS	Marin	Johnny Tucker	AGENCY Mailing	500 Tiburon Boulevard 	Tiburon	94920		07/28/2006			
2SSO10170	Active	2	Richmond City	Richmond City CS	Contra Costa	Ryan Anthony Smith	AGENCY Mailing	450 Civiv Center Plaza  	Richmond	94804		10/30/2006			
2SSO10171	Active	2	Rodeo Sanitary District	Rodeo SD CS	Contra Costa	Steven Beall	AGENCY Mailing	800 San Pablo Avenue 	Rodeo	94572		09/12/2006			
2SSO10172	Active	2	Sanitary District #1 of Marin	San Dist #1 of Marin CS	Marin	Katherine Hayden	AGENCY Mailing	2960 Kerner Boulevard 	San Rafael	94901		07/27/2006			
2SSO10175	Active	2	SEWER AUTHORITY MID-COASTSIDE	Sam CS	San Mateo	Beverli Marshall	AGENCY Mailing	1000 Cabrillo Highway 	Half Moon Bay	94019		10/30/2006			
2SSO10176	Active	2	San Bruno City	San Bruno City CS	San Mateo	James H Burch	AGENCY Mailing	567 El Camino Road 	San Bruno	94066		01/05/2007			
2SSO10177	Active	2	San Carlos City	San Carlos City CS	San Mateo	Jay  Walter	AGENCY Mailing	600 Elm Street 	San Carlos	94070		09/21/2006			
2SSO10178	Historical	2	CSU San Francisco	CSU San Francisco CS	San Francisco		AGENCY Mailing	1600 Holloway Avenue 	San Francisco	94132		02/26/2008		12/19/2012	
2SSO10179	Active	2	San Jose City	San Jose City CS	Santa Clara	Alberto Gaxiola	AGENCY Physical	700 Los Esteros Road 	San Jose	95134		10/10/2006			
2SSO10181	Active	2	San Leandro City	San Leandro CS	Alameda	Rick Orta	AGENCY Mailing	3000 Davis St  	San Leandro	94577		08/10/2006			
2SSO10183	Active	2	San Mateo City	San Mateo CIty CS	San Mateo	Steve  Camilleri	AGENCY Mailing	330 20th Avenue 	San Mateo	94403		12/14/2006			
2SSO10184	Active	2	San Rafael Sanitation District	San Rafael SD CS	Marin	Karen Chew	AGENCY Mailing	 PO Box 151560  	San Rafael	94915		08/24/2006			
2SSO10185	Active	2	Sanitary District #2 of Marin	Sanitary District #2 Of Marin CS	Marin	Michael  Palmer	AGENCY Mailing	300 Tamalpias Drive 	Corte Madera	94925		01/02/2007			
2SSO10187	Active	2	Santa Clara City	Santa Clara City CS	Santa Clara	John Cruickshank	AGENCY Mailing	1500 Warburton Avenue 	Santa Clara	95050		07/20/2006			
2SSO10188	Active	2	Sewerage Agency of Southern Marin	Sasm CS	Marin	Chris  Monti	AGENCY Physical	450 Sycamore Avenue 	Mill Valley	94941		09/12/2006			
